"","x"
"thrL",358
"thrA",10891
"thrB",3411
"thrC",3956
"yaaX",123
"yaaA",155
"yaaJ",50
"talB",3047
"mog",115
"satP",41
"yaaW",9
"yaaI",4
"dnaK",6741
"dnaJ",1119
"insL1",0
"mokC",0
"hokC",0
"sokC",1
"nhaA",174
"nhaR",113
"insB1",94
"insA",35
"rpsT",2011
"yaaY",13
"ribF",677
"ileS",4806
"lspA",450
"fkpB",416
"ispH",495
"rihC",55
"dapB",722
"carA",1356
"carB",3378
"caiF",33
"caiE",17
"caiD",2
"caiC",37
"caiB",40
"caiA",29
"caiT",3
"fixA",5
"fixB",2
"fixC",15
"fixX",2
"yaaU",15
"kefF",31
"kefC",87
"folA",120
"apaH",251
"apaG",180
"rsmA",512
"pdxA",577
"surA",1534
"lptD",2535
"djlA",135
"yabP",145
"rluA",106
"rapA",444
"polB",107
"araD",6
"araA",24
"araB",12
"araC",94
"yabI",131
"thiQ",92
"thiP",242
"thiB",373
"sgrR",122
"sgrS",0
"sgrT",0
"setA",152
"leuD",2166
"leuC",4594
"leuB",2997
"leuA",3523
"leuL",113
"leuO",12
"ilvI",2496
"ilvH",877
"cra",534
"mraZ",210
"rsmH",542
"ftsL",125
"ftsI",518
"murE",790
"murF",806
"mraY",336
"murD",575
"ftsW",397
"murG",438
"murC",736
"ddlB",384
"ftsQ",360
"ftsA",818
"ftsZ",2775
"lpxC",3419
"secM",329
"secA",2218
"mutT",54
"yacG",78
"zapD",263
"coaE",115
"guaC",921
"hofC",29
"hofB",21
"ppdD",5
"nadC",254
"ampD",94
"ampE",223
"aroP",2697
"pdhR",368
"aceE",8332
"aceF",4878
"lpd",7499
"yacH",40
"acnB",8197
"yacL",112
"speD",805
"speE",746
"yacC",112
"cueO",1165
"gcd",2054
"hpt",316
"can",1796
"yadG",256
"yadH",148
"yadI",42
"yadE",86
"panD",546
"yadD",44
"panC",1090
"panB",620
"yadC",18
"yadK",2
"yadL",9
"yadM",7
"htrE",18
"yadV",3
"yadN",2
"folK",111
"pcnB",1054
"gluQ",100
"dksA",1502
"sfsA",326
"ligT",38
"hrpB",214
"mrcB",528
"fhuA",2995
"fhuC",479
"fhuD",277
"fhuB",401
"hemL",1088
"clcA",242
"erpA",393
"yadS",65
"btuF",111
"mtn",543
"dgt",227
"degP",827
"cdaR",68
"yaeH",372
"yaeI",61
"dapD",2483
"glnD",567
"map",876
"tff",279
"rpsB",7065
"tsf",4080
"pyrH",684
"frr",1798
"dxr",328
"ispU",533
"cdsA",407
"rseP",916
"bamA",3994
"skp",1977
"lpxD",2204
"fabZ",671
"lpxA",995
"lpxB",457
"rnhB",200
"dnaE",863
"accA",1081
"ldcC",199
"yaeR",64
"tilS",213
"rof",141
"yaeP",65
"yaeQ",81
"arfB",59
"nlpE",136
"yaeF",33
"proS",2073
"tsaA",178
"rcsF",206
"metQ",2847
"metI",459
"metN",452
"gmhB",227
"rrsH",4751
"ileV",0
"alaV",15
"rrlH",50375
"rrfH",0
"aspU",22
"dkgB",79
"yafC",75
"yafD",380
"yafE",83
"mltD",1044
"gloB",138
"yafS",111
"rnhA",88
"dnaQ",153
"aspV",22
"yafT",8
"ykfM",3
"yafU",0
"yafF",4
"yafV",136
"ivy",292
"fadE",179
"gmhA",493
"yafJ",421
"yafK",543
"yafQ",100
"dinJ",97
"yafL",8
"rayT",35
"lfhA",32
"lafU",5
"dinB",58
"yafN",17
"yafO",23
"yafP",12
"ykfJ",2
"prfH",40
"pepD",1801
"gpt",198
"frsA",208
"crl",34
"phoE",7
"proB",838
"proA",1023
"thrW",21
"ykfN",2
"ykfI",21
"yafW",10
"ykfH",4
"ykfG",9
"yafX",51
"ykfF",35
"ykfB",370
"yafY",25
"ykfL",4
"ykfK",0
"yafZ",21
"ykfA",70
"perR",22
"insN",62
"insI1",4
"eyeA",16
"ykfC",85
"insH1",6
"mmuP",123
"mmuM",212
"afuC",36
"afuB",3
"insX",30
"yagB",25
"yagA",10
"yagE",16
"yagF",64
"yagG",23
"yagH",81
"yagI",192
"argF",647
"ykgS",0
"yagJ",31
"yagK",24
"yagL",8
"yagM",2
"yagN",94
"intF",159
"ptwF",2
"yagP",14
"ykgT",0
"paoD",29
"paoC",45
"paoB",29
"paoA",14
"yagU",891
"ykgJ",32
"ecpE",17
"ecpD",35
"ecpC",23
"ecpB",15
"ecpA",42
"ecpR",6
"ykgL",61
"ykgO",169
"ykgM",236
"ykgR",3
"ykgP",0
"eaeH",2
"insE1",0
"insF1",0
"ykgA",19
"ykgQ",0
"rclC",4
"rclB",7
"rclA",44
"rclR",16
"ykgE",3
"ykgF",35
"ykgG",30
"ykgH",1
"betA",227
"betB",335
"betI",106
"betT",117
"yahA",63
"yahB",50
"yahC",9
"yahD",18
"yahE",2
"yahF",12
"yahG",19
"yahI",12
"yahJ",92
"yahK",400
"yahL",2
"yahM",6
"yahN",11
"yahO",174
"prpR",33
"prpB",4
"prpC",6
"prpD",5
"prpE",16
"codB",439
"codA",831
"cynR",49
"cynT",11
"cynS",14
"cynX",26
"lacA",5
"lacY",9
"lacZ",25
"lacI",165
"mhpR",106
"mhpA",8
"mhpB",7
"mhpC",16
"mhpD",16
"mhpF",28
"mhpE",22
"mhpT",22
"yaiL",134
"frmB",278
"frmA",1105
"frmR",203
"yaiO",16
"yaiX",4
"insC1",0
"insD1",6
"yaiP",12
"yaiS",2
"tauA",23
"tauB",11
"tauC",9
"tauD",39
"hemB",422
"yaiT",70
"yaiV",5
"ampH",141
"sbmA",118
"yaiW",140
"yaiY",12
"yaiZ",23
"ddlA",232
"iraP",99
"phoA",199
"psiF",50
"yaiC",27
"proC",185
"yaiI",76
"aroL",510
"yaiA",210
"aroM",83
"yaiE",349
"ykiA",26
"rdgC",247
"mak",141
"araJ",63
"sbcC",248
"sbcD",83
"phoB",152
"phoR",146
"brnQ",262
"proY",191
"malZ",209
"acpH",68
"queA",242
"tgt",512
"yajC",625
"secD",1699
"secF",702
"yajD",61
"tsx",661
"yajI",12
"nrdR",177
"ribD",519
"ribE",524
"nusB",621
"thiL",263
"pgpA",209
"yajO",377
"dxs",619
"ispA",419
"xseB",90
"thiI",293
"yajL",162
"panE",172
"yajQ",508
"yajR",106
"cyoE",2569
"cyoD",927
"cyoC",1757
"cyoB",6004
"cyoA",3348
"ampG",322
"yajG",296
"bolA",431
"tig",5002
"clpP",1232
"clpX",3043
"lon",3118
"hupB",2486
"ppiD",1472
"ybaV",17
"fadM",22
"queC",238
"ybaE",40
"cof",89
"ybaO",32
"mdlA",76
"mdlB",71
"glnK",38
"amtB",319
"tesB",125
"ybaY",443
"ybaZ",59
"ffs",113
"ybaA",18
"ylaB",65
"ylaC",118
"maa",107
"hha",256
"tomB",116
"acrB",2585
"acrA",1206
"acrR",106
"mscK",413
"ybaM",36
"priC",74
"ybaN",179
"apt",492
"dnaX",726
"ybaB",466
"recR",561
"htpG",1524
"adk",987
"hemH",113
"aes",30
"gsk",237
"ybaL",392
"fsr",115
"ushA",543
"ybaK",99
"chiX",4
"ybaP",105
"ybaQ",154
"copA",4583
"glsA",42
"ybaT",33
"cueR",89
"ybbJ",90
"qmcA",165
"fetA",64
"fetB",83
"ybbN",815
"ybbO",263
"tesA",153
"ybbA",102
"ybbP",159
"rhsD",83
"ybbC",24
"rhsH",26
"ybbD",7
"ylbI",1
"ylbG",15
"mnmH",52
"allS",1
"allA",10
"allR",452
"gcl",16
"hyi",8
"glxR",5
"ybbW",3
"allB",9
"ybbY",16
"glxK",25
"allE",118
"allC",23
"allD",7
"fdrA",11
"ylbE",12
"ylbF",7
"ybcF",36
"purK",730
"purE",377
"lpxH",251
"ppiB",1270
"cysS",447
"ybcI",26
"ybcJ",159
"folD",561
"sfmA",0
"sfmC",2
"sfmD",9
"sfmH",4
"sfmF",1
"sfmZ",1
"argU",2
"intD",133
"xisD",0
"exoD",2
"peaD",3
"renD",30
"emrE",32
"ybcK",7
"ybcL",16
"ybcM",23
"ylcH",1
"ybcN",0
"ninE",0
"ybcO",2
"rusA",4
"ylcG",0
"quuD",12
"nmpC",800
"essD",11
"rrrD",10
"rzpD",19
"rzoD",0
"borD",82
"ybcV",0
"ybcW",2
"ylcI",1
"nohD",5
"aaaD",1
"tfaD",2
"ybcY",11
"tfaX",2
"appY",18
"ompT",9153
"pauD",0
"envY",14
"ybcH",15
"nfrA",97
"nfrB",30
"cusS",111
"cusR",75
"cusC",165
"cusF",137
"cusB",165
"cusA",177
"pheP",153
"ybdG",156
"nfsB",397
"ybdF",29
"ybdJ",37
"ybdK",85
"sokE",0
"hokE",2
"entD",809
"fepA",14544
"fes",1268
"ybdZ",259
"entF",8734
"fepE",61
"fepC",280
"fepG",181
"fepD",179
"entS",477
"fepB",654
"entC",2742
"entE",3993
"entB",2476
"entA",1911
"entH",1048
"cstA",1248
"ybdD",48
"ybdH",189
"ybdL",114
"ybdM",31
"ybdN",10
"ybdO",15
"dsbG",101
"ahpC",6501
"ahpF",889
"uspG",210
"ybdR",51
"rnk",171
"rna",226
"citT",21
"citG",4
"citX",0
"citF",7
"citE",4
"citD",4
"citC",7
"citA",50
"citB",35
"dcuC",14
"pagP",18
"cspE",2995
"flc",36
"ybeM",55
"tatE",151
"lipA",458
"ybeF",18
"lipB",183
"ybeD",266
"dacA",712
"rlpA",646
"mrdB",185
"mrdA",320
"rlmH",187
"rsfS",133
"cobC",76
"nadD",164
"holA",338
"lptE",502
"leuS",2571
"ybeL",247
"ybeQ",46
"ybeR",2
"djlB",21
"ybeT",1
"ybeU",1
