"","x"
"thrL",431
"thrA",15130
"thrB",4683
"thrC",5278
"yaaX",141
"yaaA",236
"yaaJ",83
"talB",3638
"mog",145
"satP",72
"yaaW",17
"yaaI",11
"dnaK",8812
"dnaJ",1466
"insL1",0
"mokC",0
"hokC",0
"sokC",1
"nhaA",278
"nhaR",198
"insB1",107
"insA",62
"rpsT",2285
"yaaY",10
"ribF",916
"ileS",6562
"lspA",607
"fkpB",489
"ispH",724
"rihC",72
"dapB",714
"carA",1945
"carB",4280
"caiF",49
"caiE",13
"caiD",7
"caiC",65
"caiB",63
"caiA",62
"caiT",8
"fixA",4
"fixB",12
"fixC",18
"fixX",1
"yaaU",17
"kefF",38
"kefC",161
"folA",127
"apaH",325
"apaG",249
"rsmA",727
"pdxA",739
"surA",1931
"lptD",3479
"djlA",173
"yabP",244
"rluA",116
"rapA",580
"polB",151
"araD",17
"araA",23
"araB",15
"araC",179
"yabI",146
"thiQ",116
"thiP",282
"thiB",547
"sgrR",139
"sgrS",0
"sgrT",0
"setA",237
"leuD",2762
"leuC",6079
"leuB",4030
"leuA",4514
"leuL",73
"leuO",18
"ilvI",2809
"ilvH",995
"cra",830
"mraZ",358
"rsmH",635
"ftsL",214
"ftsI",677
"murE",1121
"murF",1107
"mraY",464
"murD",873
"ftsW",545
"murG",578
"murC",1037
"ddlB",676
"ftsQ",635
"ftsA",1355
"ftsZ",4368
"lpxC",5108
"secM",436
"secA",2283
"mutT",55
"yacG",124
"zapD",403
"coaE",226
"guaC",1057
"hofC",43
"hofB",43
"ppdD",2
"nadC",326
"ampD",106
"ampE",342
"aroP",3322
"pdhR",567
"aceE",18446
"aceF",10468
"lpd",9590
"yacH",73
"acnB",8611
"yacL",165
"speD",1187
"speE",1079
"yacC",66
"cueO",521
"gcd",1454
"hpt",389
"can",1569
"yadG",419
"yadH",250
"yadI",86
"yadE",131
"panD",822
"yadD",105
"panC",1849
"panB",1103
"yadC",24
"yadK",3
"yadL",11
"yadM",11
"htrE",22
"yadV",4
"yadN",4
"folK",150
"pcnB",1511
"gluQ",80
"dksA",1586
"sfsA",305
"ligT",58
"hrpB",330
"mrcB",762
"fhuA",5477
"fhuC",710
"fhuD",389
"fhuB",596
"hemL",1351
"clcA",326
"erpA",474
"yadS",98
"btuF",159
"mtn",657
"dgt",290
"degP",1182
"cdaR",58
"yaeH",465
"yaeI",68
"dapD",2915
"glnD",848
"map",1146
"tff",337
"rpsB",9279
"tsf",4797
"pyrH",890
"frr",2381
"dxr",416
"ispU",626
"cdsA",465
"rseP",1152
"bamA",5360
"skp",2337
"lpxD",3241
"fabZ",966
"lpxA",1365
"lpxB",727
"rnhB",235
"dnaE",1116
"accA",1453
"ldcC",235
"yaeR",86
"tilS",348
"rof",158
"yaeP",118
"yaeQ",84
"arfB",77
"nlpE",192
"yaeF",19
"proS",2903
"tsaA",240
"rcsF",274
"metQ",3879
"metI",529
"metN",949
"gmhB",249
"rrsH",2997
"ileV",0
"alaV",21
"rrlH",39834
"rrfH",0
"aspU",21
"dkgB",143
"yafC",132
"yafD",609
"yafE",90
"mltD",1442
"gloB",231
"yafS",155
"rnhA",129
"dnaQ",259
"aspV",15
"yafT",10
"ykfM",2
"yafU",3
"yafF",8
"yafV",151
"ivy",463
"fadE",142
"gmhA",625
"yafJ",603
"yafK",755
"yafQ",182
"dinJ",125
"yafL",21
"rayT",40
"lfhA",35
"lafU",7
"dinB",85
"yafN",30
"yafO",28
"yafP",29
"ykfJ",3
"prfH",54
"pepD",2885
"gpt",290
"frsA",372
"crl",50
"phoE",16
"proB",1314
"proA",1502
"thrW",33
"ykfN",4
"ykfI",21
"yafW",12
"ykfH",1
"ykfG",9
"yafX",60
"ykfF",32
"ykfB",214
"yafY",19
"ykfL",0
"ykfK",2
"yafZ",28
"ykfA",81
"perR",44
"insN",95
"insI1",9
"eyeA",16
"ykfC",102
"insH1",7
"mmuP",112
"mmuM",144
"afuC",35
"afuB",3
"insX",70
"yagB",60
"yagA",10
"yagE",15
"yagF",69
"yagG",42
"yagH",96
"yagI",258
"argF",1150
"ykgS",5
"yagJ",39
"yagK",43
"yagL",12
"yagM",7
"yagN",151
"intF",327
"ptwF",1
"yagP",14
"ykgT",0
"paoD",24
"paoC",65
"paoB",27
"paoA",16
"yagU",1077
"ykgJ",47
"ecpE",54
"ecpD",44
"ecpC",54
"ecpB",13
"ecpA",66
"ecpR",7
"ykgL",35
"ykgO",84
"ykgM",145
"ykgR",0
"ykgP",3
"eaeH",4
"insE1",0
"insF1",0
"ykgA",40
"ykgQ",1
"rclC",15
"rclB",1
"rclA",70
"rclR",35
"ykgE",12
"ykgF",84
"ykgG",43
"ykgH",9
"betA",213
"betB",308
"betI",128
"betT",172
"yahA",42
"yahB",63
"yahC",7
"yahD",29
"yahE",6
"yahF",17
"yahG",29
"yahI",16
"yahJ",163
"yahK",514
"yahL",2
"yahM",7
"yahN",10
"yahO",248
"prpR",24
"prpB",10
"prpC",5
"prpD",13
"prpE",23
"codB",698
"codA",1146
"cynR",47
"cynT",18
"cynS",16
"cynX",24
"lacA",19
"lacY",16
"lacZ",27
"lacI",211
"mhpR",76
"mhpA",11
"mhpB",10
"mhpC",16
"mhpD",14
"mhpF",17
"mhpE",26
"mhpT",41
"yaiL",197
"frmB",328
"frmA",1386
"frmR",253
"yaiO",19
"yaiX",9
"insC1",0
"insD1",9
"yaiP",12
"yaiS",2
"tauA",23
"tauB",24
"tauC",15
"tauD",48
"hemB",945
"yaiT",117
"yaiV",11
"ampH",243
"sbmA",127
"yaiW",169
"yaiY",20
"yaiZ",35
"ddlA",478
"iraP",246
"phoA",304
"psiF",61
"yaiC",45
"proC",338
"yaiI",95
"aroL",570
"yaiA",207
"aroM",73
"yaiE",283
"ykiA",47
"rdgC",373
"mak",202
"araJ",97
"sbcC",370
"sbcD",178
"phoB",91
"phoR",122
"brnQ",556
"proY",274
"malZ",253
"acpH",89
"queA",246
"tgt",572
"yajC",890
"secD",2477
"secF",1038
"yajD",76
"tsx",1309
"yajI",37
"nrdR",281
"ribD",741
"ribE",606
"nusB",868
"thiL",394
"pgpA",354
"yajO",430
"dxs",965
"ispA",657
"xseB",175
"thiI",407
"yajL",268
"panE",280
"yajQ",945
"yajR",176
"cyoE",4594
"cyoD",1622
"cyoC",3276
"cyoB",10163
"cyoA",5480
"ampG",354
"yajG",313
"bolA",458
"tig",6449
"clpP",1470
"clpX",3584
"lon",3112
"hupB",3425
"ppiD",2259
"ybaV",31
"fadM",33
"queC",242
"ybaE",73
