"","x"
"cyoA",5559
"ampG",397
"yajG",374
"bolA",531
"tig",6850
"clpP",1680
"clpX",4086
"lon",3466
"hupB",3228
"ppiD",2468
"ybaV",28
"fadM",44
"queC",277
"ybaE",105
"cof",81
"ybaO",67
"mdlA",148
"mdlB",116
"glnK",4
"amtB",106
"tesB",225
"ybaY",454
"ybaZ",83
"ffs",177
"ybaA",24
"ylaB",115
"ylaC",186
"maa",130
"hha",358
"tomB",133
"acrB",5012
"acrA",2446
"acrR",162
"mscK",722
"ybaM",44
"priC",121
"ybaN",263
"apt",731
"dnaX",874
"ybaB",794
"recR",850
"htpG",2424
"adk",1873
"hemH",168
"aes",44
"gsk",408
"ybaL",486
"fsr",194
"ushA",942
"ybaK",229
"chiX",10
"ybaP",140
"ybaQ",224
"copA",1689
"glsA",366
"ybaT",243
"cueR",245
"ybbJ",195
"qmcA",325
"fetA",121
"fetB",168
"ybbN",1232
"ybbO",382
"tesA",208
"ybbA",129
"ybbP",257
"rhsD",210
"ybbC",63
"rhsH",75
"ybbD",25
"ylbI",3
"ylbG",46
"mnmH",102
"allS",9
"allA",17
"allR",906
"gcl",49
"hyi",18
"glxR",17
"ybbW",25
"allB",26
"ybbY",23
"glxK",62
"allE",215
"allC",75
"allD",18
"fdrA",15
"ylbE",22
"ylbF",25
"ybcF",64
"purK",1046
"purE",540
"lpxH",364
"ppiB",2064
"cysS",759
"ybcI",36
"ybcJ",197
"folD",809
"sfmA",10
"sfmC",21
"sfmD",53
"sfmH",21
"sfmF",9
"sfmZ",15
"argU",4
"intD",297
"xisD",2
"exoD",5
"peaD",9
"renD",31
"emrE",61
"ybcK",44
"ybcL",26
"ybcM",84
"ylcH",9
"ybcN",9
"ninE",0
"ybcO",1
"rusA",5
"ylcG",2
"quuD",35
"nmpC",1604
"essD",7
"rrrD",14
"rzpD",18
"rzoD",0
"borD",144
"ybcV",4
"ybcW",27
"ylcI",8
"nohD",2
"aaaD",0
"tfaD",8
"ybcY",20
"tfaX",3
"appY",231
"ompT",28796
"pauD",2
"envY",32
"ybcH",41
"nfrA",198
"nfrB",73
"cusS",113
"cusR",76
"cusC",25
"cusF",26
"cusB",41
"cusA",79
"pheP",212
"ybdG",274
"nfsB",666
"ybdF",59
"ybdJ",37
"ybdK",126
"sokE",1
"hokE",5
"entD",1380
"fepA",23001
"fes",2254
"ybdZ",400
"entF",14625
"fepE",87
"fepC",501
"fepG",272
"fepD",323
"entS",770
"fepB",1058
"entC",6356
"entE",7725
"entB",5301
"entA",3937
"entH",2046
"cstA",1486
"ybdD",49
"ybdH",277
"ybdL",174
"ybdM",42
"ybdN",28
"ybdO",31
"dsbG",163
