"","x"
"clpP",1051
"clpX",2217
"lon",1754
"hupB",2335
"ppiD",1194
"ybaV",26
"fadM",13
"queC",133
"ybaE",36
"cof",60
"ybaO",24
"mdlA",59
"mdlB",65
"glnK",24
"amtB",227
"tesB",89
"ybaY",266
"ybaZ",53
"ffs",71
"ybaA",9
"ylaB",44
"ylaC",71
"maa",72
"hha",161
"tomB",71
"acrB",2034
"acrA",962
"acrR",87
"mscK",262
"ybaM",23
"priC",62
"ybaN",141
"apt",315
"dnaX",535
"ybaB",437
"recR",474
"htpG",679
"adk",970
"hemH",91
"aes",26
"gsk",219
"ybaL",418
"fsr",93
"ushA",461
"ybaK",89
"chiX",2
"ybaP",104
"ybaQ",153
"copA",4813
"glsA",52
"ybaT",37
"cueR",94
"ybbJ",66
"qmcA",166
"fetA",68
"fetB",90
"ybbN",523
"ybbO",203
"tesA",127
"ybbA",70
"ybbP",164
"rhsD",69
"ybbC",15
"rhsH",9
"ybbD",2
"ylbI",6
"ylbG",25
"mnmH",35
"allS",2
"allA",6
"allR",400
"gcl",13
"hyi",0
"glxR",4
"ybbW",2
"allB",14
"ybbY",3
"glxK",27
"allE",83
"allC",27
"allD",7
"fdrA",4
"ylbE",10
"ylbF",2
"ybcF",36
"purK",617
"purE",317
"lpxH",253
"ppiB",1198
"cysS",431
"ybcI",13
"ybcJ",131
"folD",463
"sfmA",1
"sfmC",4
"sfmD",10
"sfmH",1
"sfmF",2
"sfmZ",4
"argU",0
"intD",133
"xisD",0
"exoD",0
"peaD",0
"renD",15
"emrE",26
"ybcK",4
"ybcL",11
"ybcM",27
"ylcH",1
"ybcN",1
"ninE",0
"ybcO",2
"rusA",2
"ylcG",1
"quuD",2
"nmpC",1204
"essD",7
"rrrD",9
"rzpD",19
"rzoD",0
"borD",159
"ybcV",1
"ybcW",1
"ylcI",1
"nohD",2
"aaaD",0
"tfaD",3
"ybcY",14
"tfaX",3
"appY",22
"ompT",10532
"pauD",1
"envY",11
"ybcH",20
"nfrA",60
"nfrB",19
"cusS",96
"cusR",64
"cusC",234
"cusF",119
"cusB",191
"cusA",231
"pheP",115
"ybdG",138
"nfsB",358
"ybdF",43
"ybdJ",17
"ybdK",51
"sokE",1
"hokE",0
"entD",786
"fepA",17174
"fes",1170
"ybdZ",245
"entF",8144
"fepE",38
"fepC",252
"fepG",175
"fepD",129
"entS",425
"fepB",581
"entC",3247
"entE",4361
"entB",2780
"entA",2121
"entH",1199
"cstA",1229
"ybdD",43
"ybdH",137
"ybdL",100
"ybdM",26
"ybdN",11
"ybdO",7
"dsbG",82
"ahpC",4590
"ahpF",634
"uspG",242
"ybdR",30
"rnk",109
"rna",169
"citT",11
"citG",5
"citX",4
"citF",4
"citE",6
"citD",1
"citC",4
"citA",57
"citB",26
"dcuC",24
"pagP",14
"cspE",2781
"flc",30
"ybeM",51
"tatE",138
"lipA",366
"ybeF",16
"lipB",145
"ybeD",98
"dacA",551
"rlpA",674
"mrdB",151
"mrdA",240
"rlmH",148
"rsfS",115
"cobC",51
"nadD",124
"holA",227
"lptE",425
"leuS",2143
"ybeL",133
"ybeQ",35
"ybeR",2
"djlB",2
"ybeT",1
"ybeU",4
"djlC",20
"hscC",11
"rihA",95
"gltL",131
"gltK",109
"gltJ",151
"gltI",997
"lnt",258
"ybeX",739
"ybeY",220
"ybeZ",585
"miaB",316
"ubiF",257
"glnX",33
"glnV",49
"metU",42
"glnW",123
"glnU",168
"leuW",107
"metT",3
"asnB",850
"umpH",363
"nagC",472
"nagA",295
"nagB",229
"nagE",544
"glnS",1631
"chiP",16
"chiQ",7
"fur",696
"uof",80
"fldA",502
"ybfE",23
"ybfF",107
"seqA",381
"pgm",1400
"ybfP",13
"ybfG",4
"ybfI",2
"potE",18
"speF",19
"ybfK",0
"kdpE",30
"kdpD",142
"kdpC",7
"kdpB",17
"kdpA",5
"kdpF",0
"ybfA",113
"rhsC",56
"ybfB",2
"rhsO",10
"ybfC",5
"ybfQ",0
"ybfL",4
"ybfD",4
"ybgA",30
"phr",85
"dtpD",100
"ybgI",577
"ybgJ",553
"ybgK",517
"ybgL",267
"nei",102
"abrB",52
"ybgO",22
"ybgP",3
"ybgQ",6
"ybgD",2
"gltA",4275
"sdhC",246
"sdhD",231
"sdhA",1203
"sdhB",534
"sucA",4748
"sucB",3392
"sucC",3341
"sucD",2950
"mngR",76
"mngA",5
"mngB",59
"cydA",1456
"cydB",996
"cydX",96
"ybgE",159
"ybgC",84
"tolQ",213
"tolR",104
"tolA",276
"tolB",1572
"pal",3406
"ybgF",1288
"lysT",210
"valT",338
"lysW",118
"valZ",123
"lysY",53
"lysZ",67
"lysQ",5
"nadA",650
"pnuC",434
"zitB",131
"ybgS",38
"aroG",2724
"gpmA",5751
"galM",722
"galK",275
"galT",198
"galE",202
"modF",653
"modE",135
"acrZ",42
"modA",353
"modB",256
"modC",374
"ybhA",111
"pgl",494
"ybhD",21
"ybhH",0
"ybhI",1
"ybhJ",28
"ybhC",447
"ybhB",100
"bioA",111
"bioB",130
"bioF",79
"bioC",33
"bioD",46
"uvrB",321
"ybhK",126
"moaA",236
"moaB",194
"moaC",158
"moaD",36
"moaE",190
"ybhL",228
"ybhM",6
"ybhN",28
"clsB",64
"ybhP",41
"ybhQ",17
"ybhR",39
"ybhS",55
"ybhF",230
"ybhG",182
"ybiH",40
"rhlE",189
"ybiA",9
"dinG",117
"ybiB",263
"ybiC",1047
"ybiJ",67
"ybiI",261
"ybiX",1475
"fiu",14192
"mcbA",6
"rlmF",112
"ybiO",47
"glnQ",398
"glnP",401
"glnH",1335
"dps",1345
"rhtA",24
"ompX",3709
"opgE",47
"mntS",147
"mntR",129
"ybiR",121
"ldtB",577
"ybiT",497
"ybiU",74
"ybiV",97
"ybiW",40
"ybiY",13
"fsaA",36
"moeB",174
"moeA",330
"iaaA",691
"gsiA",1010
"gsiB",799
"gsiC",237
"gsiD",182
"yliE",53
"yliF",38
"rimO",134
"bssR",66
"yliI",36
"gstB",413
"dacC",304
"deoR",178
"ybjG",90
"mdfA",73
"ybjH",28
"ybjI",130
"ybjJ",62
"rcdA",21
"rybB",7
"ybjL",188
"ybjM",19
"grxA",17
"ybjC",18
"nfsA",193
"rimK",154
"ybjN",106
"potF",490
"potG",213
"potH",112
"potI",97
"ybjO",28
"rlmC",83
"artJ",1154
"artM",164
"artQ",151
"artI",346
"artP",137
"ybjP",140
"ybjQ",87
"amiD",193
"ybjS",138
"ybjT",296
"ltaE",386
"poxB",286
"hcr",21
"hcp",10
"ybjE",77
"aqpZ",38
"ybjD",298
"ybjX",679
"macA",151
"macB",167
"cspD",394
"clpS",189
"clpA",5836
"serW",1
"infA",497
"aat",128
"cydC",263
"cydD",264
"trxB",1009
"lrp",1666
"ftsK",1256
"lolA",296
"rarA",249
"serS",1820
"dmsA",48
"dmsB",18
"dmsC",27
"ycaC",53
"ycaD",92
"ycaM",1
"ycaN",28
"ycaK",13
"pflA",109
