"","x"
"cyoA",5779
"ampG",420
"yajG",313
"bolA",478
"tig",8137
"clpP",1739
"clpX",3957
"lon",3497
"hupB",4094
"ppiD",2316
"ybaV",29
"fadM",20
"queC",254
"ybaE",72
"cof",81
"ybaO",33
"mdlA",117
"mdlB",109
"glnK",15
"amtB",201
"tesB",232
"ybaY",443
"ybaZ",94
"ffs",107
"ybaA",24
"ylaB",114
"ylaC",199
"maa",148
"hha",293
"tomB",111
"acrB",4039
"acrA",1885
"acrR",96
"mscK",724
"ybaM",40
"priC",131
"ybaN",165
"apt",755
"dnaX",964
"ybaB",811
"recR",976
"htpG",2064
"adk",2171
"hemH",166
"aes",48
"gsk",442
"ybaL",643
"fsr",146
"ushA",843
"ybaK",211
"chiX",5
"ybaP",135
"ybaQ",240
"copA",1896
"glsA",144
"ybaT",90
"cueR",168
"ybbJ",191
"qmcA",293
"fetA",115
"fetB",154
"ybbN",1069
"ybbO",388
"tesA",150
"ybbA",115
"ybbP",236
"rhsD",171
"ybbC",54
"rhsH",26
"ybbD",6
"ylbI",5
"ylbG",37
"mnmH",80
"allS",12
"allA",20
"allR",914
"gcl",17
"hyi",9
"glxR",2
"ybbW",4
"allB",17
"ybbY",10
"glxK",44
"allE",205
"allC",54
"allD",12
"fdrA",2
"ylbE",24
"ylbF",10
"ybcF",64
"purK",1349
"purE",653
"lpxH",372
"ppiB",2145
"cysS",836
"ybcI",24
"ybcJ",230
"folD",818
"sfmA",2
"sfmC",4
"sfmD",16
"sfmH",0
"sfmF",3
"sfmZ",7
"argU",7
"intD",286
"xisD",2
"exoD",6
"peaD",4
"renD",37
"emrE",57
"ybcK",10
"ybcL",17
"ybcM",75
"ylcH",5
"ybcN",2
"ninE",0
"ybcO",0
"rusA",0
"ylcG",2
"quuD",4
"nmpC",3714
"essD",17
"rrrD",12
"rzpD",36
"rzoD",0
"borD",291
"ybcV",3
"ybcW",18
"ylcI",3
"nohD",2
"aaaD",2
"tfaD",5
"ybcY",26
"tfaX",4
"appY",161
"ompT",28452
"pauD",3
"envY",21
"ybcH",57
"nfrA",230
"nfrB",57
"cusS",137
"cusR",113
"cusC",735
"cusF",661
"cusB",1111
"cusA",899
"pheP",305
"ybdG",291
"nfsB",671
"ybdF",58
"ybdJ",35
"ybdK",98
"sokE",0
"hokE",1
"entD",890
"fepA",13435
"fes",1393
"ybdZ",230
"entF",8751
"fepE",73
"fepC",476
"fepG",218
"fepD",277
"entS",668
"fepB",955
"entC",3163
"entE",4205
"entB",2845
"entA",2199
"entH",1187
"cstA",1213
"ybdD",50
"ybdH",289
"ybdL",204
"ybdM",36
"ybdN",12
"ybdO",4
"dsbG",190
"ahpC",8929
"ahpF",1508
"uspG",542
"ybdR",64
"rnk",211
"rna",329
"citT",27
"citG",15
"citX",3
"citF",12
"citE",6
"citD",8
"citC",6
"citA",113
"citB",121
"dcuC",370
"pagP",25
"cspE",4711
"flc",88
"ybeM",84
"tatE",332
"lipA",1011
"ybeF",36
"lipB",254
"ybeD",299
"dacA",1192
"rlpA",1198
"mrdB",284
"mrdA",534
"rlmH",303
"rsfS",283
"cobC",117
"nadD",263
"holA",578
"lptE",1029
"leuS",4438
"ybeL",366
"ybeQ",72
"ybeR",2
"djlB",14
"ybeT",2
"ybeU",5
"djlC",42
"hscC",28
"rihA",160
"gltL",212
"gltK",157
"gltJ",232
"gltI",1367
"lnt",684
"ybeX",1825
"ybeY",438
"ybeZ",1220
"miaB",902
"ubiF",587
"glnX",127
"glnV",223
"metU",167
"glnW",347
"glnU",418
"leuW",201
"metT",10
"asnB",1873
"umpH",667
"nagC",863
"nagA",433
"nagB",292
"nagE",856
"glnS",2957
"chiP",14
"chiQ",14
"fur",1395
"uof",85
"fldA",860
"ybfE",35
"ybfF",156
"seqA",708
"pgm",2746
"ybfP",36
"ybfG",5
"ybfI",0
"potE",49
"speF",23
"ybfK",0
"kdpE",65
"kdpD",297
"kdpC",14
"kdpB",34
"kdpA",6
"kdpF",0
"ybfA",180
"rhsC",118
"ybfB",1
"rhsO",22
"ybfC",13
"ybfQ",3
"ybfL",1
"ybfD",5
"ybgA",59
"phr",129
"dtpD",157
"ybgI",918
"ybgJ",808
"ybgK",939
"ybgL",500
"nei",236
"abrB",149
"ybgO",31
"ybgP",5
"ybgQ",13
"ybgD",2
"gltA",5383
"sdhC",402
"sdhD",328
"sdhA",2077
"sdhB",836
"sucA",4993
"sucB",3730
"sucC",3198
"sucD",2758
"mngR",86
"mngA",6
"mngB",103
"cydA",8394
"cydB",5519
"cydX",512
"ybgE",862
"ybgC",184
"tolQ",568
"tolR",256
"tolA",611
"tolB",3125
"pal",6377
"ybgF",2712
"lysT",299
"valT",817
"lysW",359
"valZ",294
"lysY",112
"lysZ",169
"lysQ",26
"nadA",1256
"pnuC",829
"zitB",293
"ybgS",76
"aroG",5089
"gpmA",6086
"galM",1640
"galK",477
"galT",378
"galE",395
"modF",913
"modE",185
"acrZ",69
"modA",435
"modB",312
"modC",494
"ybhA",206
"pgl",921
"ybhD",42
"ybhH",2
"ybhI",3
"ybhJ",75
"ybhC",1187
"ybhB",209
"bioA",196
"bioB",264
"bioF",237
"bioC",84
"bioD",112
"uvrB",684
"ybhK",239
"moaA",473
"moaB",433
"moaC",378
"moaD",101
"moaE",424
"ybhL",490
"ybhM",13
"ybhN",39
"clsB",131
"ybhP",80
"ybhQ",41
"ybhR",69
"ybhS",114
"ybhF",385
"ybhG",288
"ybiH",111
"rhlE",448
"ybiA",21
"dinG",230
"ybiB",715
"ybiC",1832
"ybiJ",92
"ybiI",133
"ybiX",885
"fiu",4675
"mcbA",22
"rlmF",341
"ybiO",96
"glnQ",944
"glnP",899
"glnH",2621
"dps",2827
"rhtA",39
"ompX",6084
"opgE",100
"mntS",44
"mntR",224
"ybiR",162
"ldtB",1237
"ybiT",1102
"ybiU",111
"ybiV",169
"ybiW",85
"ybiY",19
"fsaA",84
"moeB",289
"moeA",561
"iaaA",1544
"gsiA",1950
"gsiB",1384
"gsiC",467
"gsiD",309
"yliE",281
"yliF",152
"rimO",430
"bssR",1169
"yliI",111
"gstB",759
"dacC",636
"deoR",306
"ybjG",185
"mdfA",135
"ybjH",86
"ybjI",239
"ybjJ",134
"rcdA",25
"rybB",12
"ybjL",459
"ybjM",103
"grxA",37
"ybjC",29
"nfsA",385
"rimK",309
"ybjN",253
"potF",695
"potG",385
"potH",123
"potI",122
"ybjO",55
"rlmC",229
"artJ",2363
"artM",378
"artQ",404
"artI",1099
"artP",530
"ybjP",333
"ybjQ",203
"amiD",424
"ybjS",307
"ybjT",606
"ltaE",722
"poxB",791
"hcr",160
"hcp",30
"ybjE",140
"aqpZ",48
"ybjD",510
"ybjX",1217
"macA",319
"macB",379
"cspD",1224
"clpS",371
"clpA",8002
"serW",5
"infA",915
"aat",264
"cydC",588
"cydD",494
"trxB",2026
"lrp",3365
"ftsK",2576
"lolA",555
"rarA",540
"serS",4035
"dmsA",765
"dmsB",221
"dmsC",281
"ycaC",191
"ycaD",218
"ycaM",14
"ycaN",57
"ycaK",31
"pflA",513
"pflB",50367
"focA",1866
"ycaO",551
"ycaP",49
"serC",9316
"aroA",3430
"ycaL",50
"cmk",447
"rpsA",31115
"ihfB",2057
"ycaI",59
"msbA",902
"lpxK",329
"ycaQ",92
"ycaR",37
"kdsB",890
"ycbJ",473
"elyC",134
"smtA",343
"mukF",627
"mukE",511
"mukB",3217
"ldtD",648
"ycbK",930
"ycbL",1366
"aspC",4388
"ompF",69678
"asnS",4442
"pncB",2046
"pepN",2888
"ssuB",70
"ssuC",12
"ssuD",24
"ssuA",22
"ssuE",22
"elfA",9
"elfD",3
"elfC",38
"elfG",50
"ycbU",16
"ycbV",9
"ycbF",77
"pyrD",683
"zapC",321
"ycbX",468
"rlmL",862
"uup",746
"pqiA",112
"pqiB",308
"pqiC",117
"rmf",3095
"fabA",1536
"ycbZ",736
"matP",134
"ompA",72019
"sulA",104
"sxy",78
"yccS",432
"yccF",107
"helD",763
"mgsA",536
"yccT",22
"yccU",259
"hspQ",604
"rlmI",476
"yccX",84
"tusE",90
"yccA",1780
"serT",3
"hyaA",181
"hyaB",263
"hyaC",80
"hyaD",100
"hyaE",31
"hyaF",88
"cbdA",218
"cbdB",130
"cbdX",28
"appA",212
"etk",180
"etp",24
"gfcE",45
"gfcD",47
"gfcC",17
"gfcB",9
"gfcA",34
"cspH",2
"cspG",605
"ymcE",34
"gnsA",44
"yccM",80
"torS",163
"torT",69
"torR",83
"torC",12
"torA",34
"torD",57
"cbpM",251
"cbpA",667
"yccE",11
"agp",355
"yccJ",949
"wrbA",1902
"ymdF",20
"rutG",30
"rutF",19
"rutE",10
"rutD",14
"rutC",7
"rutB",12
"rutA",3
"rutR",83
"putA",943
"putP",825
