"","x"
"thrL",1009
"thrA",29923
"thrB",9717
"thrC",11596
"yaaX",338
"yaaA",424
"yaaJ",96
"talB",7129
"mog",289
"satP",166
"yaaW",23
"yaaI",13
"dnaK",14266
"dnaJ",2440
"insL1",0
"mokC",0
"hokC",0
"sokC",3
"nhaA",512
"nhaR",273
"insB1",228
"insA",54
"rpsT",7314
"yaaY",17
"ribF",1492
"ileS",10588
"lspA",982
"fkpB",929
"ispH",1213
"rihC",145
"dapB",2642
"carA",11243
"carB",25488
"caiF",225
"caiE",47
"caiD",6
"caiC",105
"caiB",87
"caiA",81
"caiT",12
"fixA",9
"fixB",12
"fixC",22
"fixX",2
"yaaU",15
"kefF",71
"kefC",234
"folA",385
"apaH",589
"apaG",472
"rsmA",1422
"pdxA",1467
"surA",3500
"lptD",5855
"djlA",294
"yabP",375
"rluA",272
"rapA",1144
"polB",244
"araD",21
"araA",39
"araB",21
"araC",358
"yabI",257
"thiQ",317
"thiP",732
"thiB",1275
"sgrR",263
"sgrS",3
"sgrT",0
"setA",394
"leuD",4749
"leuC",10634
"leuB",6599
"leuA",6372
"leuL",185
"leuO",29
"ilvI",4852
"ilvH",1658
"cra",1229
"mraZ",737
"rsmH",1120
"ftsL",339
"ftsI",1247
"murE",1987
"murF",1905
"mraY",869
"murD",1514
"ftsW",1059
"murG",989
"murC",1740
"ddlB",1003
"ftsQ",895
"ftsA",2025
"ftsZ",6378
"lpxC",7818
"secM",995
"secA",5642
"mutT",171
"yacG",229
"zapD",734
"coaE",339
"guaC",2500
"hofC",86
"hofB",67
"ppdD",4
"nadC",594
"ampD",169
"ampE",561
"aroP",6473
"pdhR",867
"aceE",24983
"aceF",14570
"lpd",23519
"yacH",112
"acnB",33544
"yacL",272
"speD",3591
"speE",3090
"yacC",140
"cueO",703
"gcd",2612
"hpt",984
"can",3836
"yadG",559
"yadH",341
"yadI",85
"yadE",199
"panD",1993
"yadD",156
"panC",2948
"panB",1945
"yadC",31
"yadK",12
"yadL",13
"yadM",9
"htrE",40
"yadV",11
"yadN",2
"folK",311
"pcnB",3418
"gluQ",220
"dksA",2946
"sfsA",460
"ligT",120
"hrpB",550
"mrcB",1373
"fhuA",4848
"fhuC",728
"fhuD",401
"fhuB",711
"hemL",2409
"clcA",452
"erpA",1201
"yadS",181
"btuF",338
"mtn",1259
"dgt",431
"degP",1739
"cdaR",101
"yaeH",575
"yaeI",152
"dapD",6939
"glnD",1359
"map",2169
"tff",919
"rpsB",23417
"tsf",11815
"pyrH",2392
"frr",5684
"dxr",632
"ispU",1464
"cdsA",1032
"rseP",2457
"bamA",9338
"skp",4166
"lpxD",6241
"fabZ",1690
"lpxA",2588
"lpxB",1365
"rnhB",438
"dnaE",2449
"accA",3212
"ldcC",333
"yaeR",165
"tilS",648
"rof",285
"yaeP",172
"yaeQ",155
"arfB",128
"nlpE",312
"yaeF",62
"proS",5991
"tsaA",484
"rcsF",497
"metQ",7292
"metI",1167
"metN",1582
"gmhB",423
"rrsH",3517
"ileV",0
"alaV",59
"rrlH",74100
"rrfH",0
"aspU",129
"dkgB",179
"yafC",193
"yafD",786
"yafE",145
"mltD",4425
"gloB",326
"yafS",214
"rnhA",204
"dnaQ",471
"aspV",64
"yafT",21
"ykfM",4
"yafU",5
"yafF",11
"yafV",166
"ivy",1237
"fadE",601
"gmhA",1128
"yafJ",974
"yafK",1033
"yafQ",276
"dinJ",172
"yafL",16
"rayT",55
"lfhA",34
"lafU",10
"dinB",137
"yafN",44
"yafO",51
"yafP",37
"ykfJ",2
"prfH",71
"pepD",3315
"gpt",645
"frsA",542
"crl",83
"phoE",13
"proB",1968
"proA",2001
"thrW",47
"ykfN",8
"ykfI",33
"yafW",15
"ykfH",6
"ykfG",19
"yafX",95
"ykfF",50
"ykfB",336
"yafY",35
"ykfL",1
"ykfK",0
"yafZ",34
"ykfA",97
"perR",71
"insN",125
"insI1",6
"eyeA",27
"ykfC",155
"insH1",28
"mmuP",298
"mmuM",354
"afuC",49
"afuB",12
"insX",93
"yagB",86
"yagA",22
"yagE",34
"yagF",126
"yagG",53
"yagH",190
"yagI",756
"argF",3835
"ykgS",3
"yagJ",54
"yagK",46
"yagL",19
"yagM",11
"yagN",255
"intF",459
