"","x"
"thrL",335
"thrA",9698
"thrB",2970
"thrC",3426
"yaaX",89
"yaaA",169
"yaaJ",45
"talB",2683
"mog",104
"satP",39
"yaaW",6
"yaaI",5
"dnaK",6208
"dnaJ",993
"insL1",0
"mokC",0
"hokC",0
"sokC",0
"nhaA",170
"nhaR",116
"insB1",71
"insA",41
"rpsT",1636
"yaaY",3
"ribF",523
"ileS",4190
"lspA",382
"fkpB",334
"ispH",420
"rihC",49
"dapB",634
"carA",1125
"carB",2732
"caiF",23
"caiE",7
"caiD",7
"caiC",35
"caiB",42
"caiA",24
"caiT",3
"fixA",3
"fixB",4
"fixC",20
"fixX",1
"yaaU",13
"kefF",37
"kefC",99
"folA",85
"apaH",166
"apaG",143
"rsmA",399
"pdxA",474
"surA",1285
"lptD",2113
"djlA",106
"yabP",133
"rluA",72
"rapA",383
"polB",108
"araD",9
"araA",12
"araB",7
"araC",107
"yabI",103
"thiQ",84
"thiP",221
"thiB",337
"sgrR",114
"sgrS",1
"sgrT",0
"setA",119
"leuD",2048
"leuC",4296
"leuB",2780
"leuA",3301
"leuL",84
"leuO",7
"ilvI",2231
"ilvH",743
"cra",447
"mraZ",194
"rsmH",416
"ftsL",107
"ftsI",491
"murE",723
"murF",689
"mraY",298
"murD",522
"ftsW",345
"murG",306
"murC",619
"ddlB",335
"ftsQ",382
"ftsA",776
"ftsZ",2605
"lpxC",2896
"secM",290
"secA",1861
"mutT",55
"yacG",83
"zapD",240
"coaE",120
"guaC",806
"hofC",23
"hofB",22
"ppdD",2
"nadC",268
"ampD",68
"ampE",184
"aroP",2404
"pdhR",315
"aceE",7684
"aceF",4447
"lpd",6495
"yacH",35
"acnB",6482
"yacL",106
"speD",672
"speE",651
"yacC",68
"cueO",1068
"gcd",1535
"hpt",268
"can",1491
"yadG",196
"yadH",163
"yadI",28
"yadE",57
"panD",405
"yadD",56
"panC",993
"panB",549
"yadC",12
"yadK",4
"yadL",11
"yadM",4
"htrE",17
"yadV",4
"yadN",1
"folK",89
"pcnB",900
"gluQ",64
"dksA",1400
"sfsA",248
"ligT",42
"hrpB",210
"mrcB",465
"fhuA",2704
"fhuC",401
"fhuD",210
"fhuB",377
"hemL",973
"clcA",209
"erpA",311
"yadS",64
"btuF",77
"mtn",469
"dgt",238
"degP",714
"cdaR",37
"yaeH",344
"yaeI",63
"dapD",2357
"glnD",536
"map",791
"tff",304
"rpsB",6047
"tsf",3623
"pyrH",588
"frr",1601
"dxr",281
"ispU",418
"cdsA",378
"rseP",848
"bamA",3260
"skp",1647
"lpxD",1836
"fabZ",580
"lpxA",860
"lpxB",348
"rnhB",136
"dnaE",590
"accA",885
"ldcC",182
"yaeR",69
"tilS",176
"rof",125
"yaeP",89
"yaeQ",64
"arfB",50
"nlpE",147
"yaeF",19
"proS",1686
"tsaA",121
"rcsF",187
"metQ",2337
"metI",378
"metN",395
"gmhB",192
"rrsH",4035
"ileV",0
"alaV",9
"rrlH",49884
"rrfH",0
"aspU",22
"dkgB",78
"yafC",81
"yafD",328
"yafE",53
"mltD",886
"gloB",142
"yafS",76
"rnhA",76
"dnaQ",156
"aspV",13
"yafT",5
"ykfM",6
"yafU",5
"yafF",11
"yafV",98
"ivy",272
"fadE",160
"gmhA",404
"yafJ",393
"yafK",392
"yafQ",105
"dinJ",75
"yafL",18
"rayT",20
"lfhA",16
"lafU",1
"dinB",42
"yafN",18
"yafO",27
"yafP",10
"ykfJ",2
"prfH",26
"pepD",1833
"gpt",134
"frsA",204
"crl",32
"phoE",6
"proB",734
"proA",852
"thrW",13
"ykfN",7
"ykfI",27
"yafW",13
"ykfH",3
"ykfG",12
"yafX",33
"ykfF",18
"ykfB",290
"yafY",29
"ykfL",6
"ykfK",0
"yafZ",27
"ykfA",52
"perR",22
"insN",51
"insI1",4
"eyeA",7
"ykfC",90
"insH1",6
"mmuP",99
"mmuM",144
"afuC",27
"afuB",6
"insX",26
"yagB",30
"yagA",8
"yagE",14
"yagF",39
"yagG",16
"yagH",74
"yagI",132
"argF",488
"ykgS",0
"yagJ",31
"yagK",15
"yagL",6
"yagM",8
"yagN",102
"intF",157
"ptwF",2
"yagP",15
"ykgT",0
"paoD",28
"paoC",35
"paoB",14
"paoA",13
"yagU",791
"ykgJ",21
"ecpE",21
"ecpD",44
"ecpC",10
"ecpB",7
"ecpA",37
"ecpR",4
"ykgL",43
"ykgO",159
"ykgM",199
"ykgR",0
"ykgP",5
"eaeH",7
"insE1",0
"insF1",0
"ykgA",29
"ykgQ",1
"rclC",9
"rclB",0
"rclA",43
"rclR",30
"ykgE",10
"ykgF",48
"ykgG",30
"ykgH",3
"betA",179
"betB",276
"betI",93
"betT",132
"yahA",50
"yahB",33
"yahC",7
"yahD",19
"yahE",7
"yahF",14
"yahG",20
"yahI",12
"yahJ",94
"yahK",335
"yahL",2
"yahM",4
"yahN",4
"yahO",180
"prpR",32
"prpB",7
"prpC",7
"prpD",12
"prpE",20
"codB",438
"codA",725
"cynR",28
"cynT",11
"cynS",9
"cynX",24
"lacA",9
"lacY",10
"lacZ",27
"lacI",120
"mhpR",78
"mhpA",10
"mhpB",7
"mhpC",22
"mhpD",15
"mhpF",14
"mhpE",16
"mhpT",29
"yaiL",112
"frmB",223
"frmA",759
"frmR",136
"yaiO",15
"yaiX",4
"insC1",0
"insD1",2
"yaiP",10
"yaiS",3
"tauA",14
"tauB",10
"tauC",11
"tauD",24
"hemB",423
"yaiT",55
"yaiV",7
"ampH",138
"sbmA",98
"yaiW",139
"yaiY",5
"yaiZ",16
"ddlA",205
"iraP",98
"phoA",187
"psiF",41
"yaiC",29
"proC",177
"yaiI",54
"aroL",413
"yaiA",177
"aroM",63
"yaiE",314
"ykiA",13
"rdgC",216
"mak",146
"araJ",71
"sbcC",230
"sbcD",64
"phoB",126
"phoR",114
"brnQ",240
"proY",155
"malZ",135
"acpH",58
"queA",119
"tgt",461
"yajC",669
"secD",1439
"secF",596
"yajD",61
"tsx",527
"yajI",18
"nrdR",142
"ribD",452
"ribE",466
"nusB",567
"thiL",214
"pgpA",208
"yajO",303
"dxs",521
"ispA",334
"xseB",108
"thiI",239
"yajL",144
"panE",167
"yajQ",529
"yajR",75
"cyoE",2281
"cyoD",842
"cyoC",1590
"cyoB",5377
"cyoA",3053
"ampG",258
"yajG",224
"bolA",451
"tig",4481
"clpP",1138
"clpX",2610
"lon",2603
"hupB",2289
"ppiD",1324
"ybaV",19
"fadM",15
"queC",168
"ybaE",22
"cof",64
"ybaO",29
"mdlA",69
"mdlB",53
"glnK",25
"amtB",217
"tesB",116
"ybaY",368
"ybaZ",62
"ffs",117
"ybaA",15
"ylaB",61
"ylaC",118
"maa",85
"hha",185
"tomB",86
"acrB",2339
"acrA",1044
"acrR",84
"mscK",363
"ybaM",29
"priC",57
"ybaN",158
"apt",393
"dnaX",554
"ybaB",431
"recR",423
"htpG",1519
"adk",931
"hemH",99
"aes",11
"gsk",204
"ybaL",415
"fsr",75
"ushA",525
"ybaK",126
"chiX",3
"ybaP",107
"ybaQ",142
"copA",3863
"glsA",47
"ybaT",35
"cueR",91
"ybbJ",87
"qmcA",176
"fetA",64
"fetB",89
"ybbN",741
"ybbO",253
"tesA",127
"ybbA",73
"ybbP",185
"rhsD",80
"ybbC",27
"rhsH",20
"ybbD",16
"ylbI",2
"ylbG",7
"mnmH",32
"allS",4
"allA",8
"allR",436
"gcl",16
"hyi",3
"glxR",4
"ybbW",8
"allB",14
"ybbY",13
"glxK",30
"allE",117
"allC",31
"allD",8
"fdrA",7
"ylbE",9
"ylbF",5
"ybcF",35
"purK",610
"purE",295
"lpxH",224
"ppiB",1203
"cysS",443
"ybcI",26
"ybcJ",110
"folD",406
"sfmA",4
"sfmC",2
"sfmD",25
"sfmH",6
"sfmF",1
"sfmZ",8
"argU",2
"intD",115
"xisD",1
"exoD",1
"peaD",0
"renD",8
"emrE",26
"ybcK",6
"ybcL",7
"ybcM",23
"ylcH",0
"ybcN",2
"ninE",0
"ybcO",0
"rusA",0
"ylcG",1
"quuD",4
"nmpC",780
"essD",5
"rrrD",8
"rzpD",9
"rzoD",0
"borD",88
"ybcV",4
"ybcW",1
"ylcI",2
"nohD",1
"aaaD",1
"tfaD",6
"ybcY",15
"tfaX",1
"appY",16
"ompT",9183
"pauD",2
"envY",9
"ybcH",20
"nfrA",77
"nfrB",35
"cusS",90
"cusR",81
"cusC",171
"cusF",90
"cusB",137
"cusA",164
"pheP",123
"ybdG",130
"nfsB",369
"ybdF",37
"ybdJ",20
"ybdK",105
"sokE",0
"hokE",3
"entD",646
"fepA",13407
"fes",1160
"ybdZ",280
"entF",7597
"fepE",40
"fepC",250
"fepG",172
"fepD",176
"entS",426
"fepB",550
"entC",2595
"entE",3531
"entB",2204
"entA",1666
"entH",967
"cstA",1009
"ybdD",41
"ybdH",150
"ybdL",113
"ybdM",26
"ybdN",8
"ybdO",14
"dsbG",87
"ahpC",5805
"ahpF",856
"uspG",239
"ybdR",41
"rnk",121
"rna",197
"citT",10
"citG",7
"citX",1
"citF",6
"citE",12
"citD",2
"citC",4
"citA",52
"citB",29
"dcuC",13
"pagP",9
"cspE",2768
"flc",32
"ybeM",63
"tatE",154
"lipA",367
"ybeF",19
"lipB",125
"ybeD",192
"dacA",579
"rlpA",600
"mrdB",128
"mrdA",229
"rlmH",148
"rsfS",115
"cobC",45
"nadD",126
"holA",232
"lptE",439
"leuS",1998
"ybeL",242
"ybeQ",55
"ybeR",2
"djlB",10
"ybeT",0
"ybeU",5
"djlC",11
"hscC",24
"rihA",83
"gltL",149
"gltK",101
"gltJ",159
"gltI",1029
"lnt",361
"ybeX",878
"ybeY",254
"ybeZ",729
"miaB",343
"ubiF",269
"glnX",44
"glnV",47
"metU",45
"glnW",125
"glnU",178
"leuW",139
"metT",3
"asnB",926
"umpH",319
"nagC",468
"nagA",302
"nagB",169
"nagE",531
"glnS",1489
"chiP",5
