"","x"
"thrL",575
"thrA",11758
"thrB",3692
"thrC",3871
"yaaX",114
"yaaA",161
"yaaJ",63
"talB",4189
"mog",113
"satP",69
"yaaW",18
"yaaI",11
"dnaK",6144
"dnaJ",1133
"insL1",0
"mokC",0
"hokC",0
"sokC",0
"nhaA",185
"nhaR",122
"insB1",119
"insA",58
"rpsT",2870
"yaaY",13
"ribF",929
"ileS",5014
"lspA",527
"fkpB",394
"ispH",579
"rihC",63
"dapB",728
"carA",3380
"carB",6060
"caiF",63
"caiE",7
"caiD",4
"caiC",65
"caiB",48
"caiA",57
"caiT",9
"fixA",6
"fixB",7
"fixC",30
"fixX",3
"yaaU",15
"kefF",43
"kefC",123
"folA",140
"apaH",264
"apaG",236
"rsmA",604
"pdxA",850
"surA",1756
"lptD",3531
"djlA",137
"yabP",260
"rluA",121
"rapA",526
"polB",136
"araD",5
"araA",29
"araB",8
"araC",123
"yabI",133
"thiQ",159
"thiP",249
"thiB",488
"sgrR",142
"sgrS",1
"sgrT",0
"setA",149
"leuD",2750
"leuC",5508
"leuB",3508
"leuA",4301
"leuL",144
"leuO",20
"ilvI",2457
"ilvH",842
"cra",518
"mraZ",432
"rsmH",532
"ftsL",187
"ftsI",938
"murE",1007
"murF",1119
"mraY",424
"murD",654
"ftsW",613
"murG",579
"murC",926
"ddlB",450
"ftsQ",555
"ftsA",1100
"ftsZ",3195
"lpxC",3721
"secM",721
"secA",2162
"mutT",60
"yacG",132
"zapD",328
"coaE",169
"guaC",1018
"hofC",54
"hofB",43
"ppdD",3
"nadC",282
"ampD",117
"ampE",306
"aroP",2660
"pdhR",391
"aceE",11046
"aceF",5905
"lpd",10957
"yacH",45
"acnB",11833
"yacL",171
"speD",1448
"speE",1320
"yacC",186
"cueO",256
"gcd",2178
"hpt",369
"can",2454
"yadG",282
"yadH",168
"yadI",56
"yadE",109
"panD",816
"yadD",63
"panC",1207
"panB",779
"yadC",24
"yadK",5
"yadL",12
"yadM",6
"htrE",22
"yadV",4
"yadN",2
"folK",180
"pcnB",1518
"gluQ",116
"dksA",1264
"sfsA",393
"ligT",58
"hrpB",252
"mrcB",611
"fhuA",4161
"fhuC",608
"fhuD",353
"fhuB",547
"hemL",1102
"clcA",249
"erpA",418
"yadS",95
"btuF",197
"mtn",626
"dgt",240
"degP",887
"cdaR",65
"yaeH",408
"yaeI",76
"dapD",2804
"glnD",845
"map",1109
"tff",1098
"rpsB",8853
"tsf",3729
"pyrH",936
"frr",2150
"dxr",328
"ispU",620
"cdsA",443
"rseP",1157
"bamA",4966
"skp",1802
"lpxD",3216
"fabZ",930
"lpxA",1176
"lpxB",612
"rnhB",258
"dnaE",1117
"accA",1259
"ldcC",228
"yaeR",71
"tilS",359
"rof",131
"yaeP",127
"yaeQ",87
"arfB",83
"nlpE",145
"yaeF",40
"proS",2309
"tsaA",244
"rcsF",401
"metQ",3503
"metI",622
"metN",712
"gmhB",209
"rrsH",3124
"ileV",0
"alaV",10
"rrlH",30856
"rrfH",0
"aspU",39
"dkgB",107
"yafC",85
"yafD",502
"yafE",78
"mltD",1804
"gloB",215
"yafS",116
"rnhA",120
"dnaQ",196
"aspV",52
"yafT",3
"ykfM",2
"yafU",3
"yafF",6
"yafV",95
"ivy",394
"fadE",264
"gmhA",483
"yafJ",518
"yafK",544
"yafQ",168
"dinJ",136
"yafL",22
"rayT",41
"lfhA",34
"lafU",3
"dinB",105
"yafN",20
"yafO",33
"yafP",27
"ykfJ",3
"prfH",63
