"","x"
"clpP",676
"clpX",1883
"lon",1987
"hupB",1443
"ppiD",1063
"ybaV",22
"fadM",16
"queC",155
"ybaE",32
"cof",46
"ybaO",30
"mdlA",97
"mdlB",58
"glnK",18
"amtB",148
"tesB",88
"ybaY",122
"ybaZ",51
"ffs",126
"ybaA",14
"ylaB",73
"ylaC",77
"maa",91
"hha",148
"tomB",59
"acrB",2738
"acrA",1354
"acrR",96
"mscK",309
"ybaM",30
"priC",55
"ybaN",109
"apt",418
"dnaX",608
"ybaB",368
"recR",467
"htpG",1165
"adk",1050
"hemH",56
"aes",26
"gsk",271
"ybaL",304
"fsr",83
"ushA",292
"ybaK",76
"chiX",6
"ybaP",70
"ybaQ",65
"copA",514
"glsA",10
"ybaT",20
"cueR",59
"ybbJ",51
"qmcA",95
"fetA",46
"fetB",71
"ybbN",528
"ybbO",198
"tesA",100
"ybbA",46
"ybbP",134
"rhsD",66
"ybbC",17
"rhsH",13
"ybbD",6
"ylbI",2
"ylbG",7
"mnmH",38
"allS",2
"allA",2
"allR",348
"gcl",11
"hyi",3
"glxR",8
"ybbW",6
"allB",6
"ybbY",6
"glxK",14
"allE",47
"allC",18
"allD",4
"fdrA",4
"ylbE",7
"ylbF",9
"ybcF",48
"purK",744
"purE",390
"lpxH",228
"ppiB",810
"cysS",385
"ybcI",22
"ybcJ",130
"folD",431
"sfmA",5
"sfmC",1
"sfmD",15
"sfmH",6
"sfmF",4
"sfmZ",4
"argU",1
"intD",110
"xisD",0
"exoD",1
"peaD",5
"renD",18
"emrE",24
"ybcK",5
"ybcL",2
"ybcM",28
"ylcH",3
"ybcN",1
"ninE",0
"ybcO",0
"rusA",1
"ylcG",1
"quuD",7
"nmpC",752
"essD",7
"rrrD",10
"rzpD",15
"rzoD",0
"borD",74
"ybcV",5
"ybcW",1
"ylcI",0
"nohD",0
"aaaD",8
"tfaD",0
"ybcY",5
"tfaX",0
"appY",11
"ompT",6650
"pauD",0
"envY",10
"ybcH",17
"nfrA",77
"nfrB",26
"cusS",67
"cusR",43
"cusC",28
"cusF",22
"cusB",69
"cusA",116
"pheP",132
"ybdG",123
"nfsB",488
"ybdF",20
"ybdJ",16
"ybdK",25
"sokE",0
"hokE",4
"entD",177
"fepA",2392
"fes",399
"ybdZ",62
"entF",1879
"fepE",21
"fepC",187
"fepG",115
"fepD",185
"entS",378
"fepB",323
"entC",771
"entE",1063
"entB",576
"entA",499
"entH",266
"cstA",609
"ybdD",30
"ybdH",92
"ybdL",58
"ybdM",21
"ybdN",5
"ybdO",8
"dsbG",62
"ahpC",3774
"ahpF",661
"uspG",96
"ybdR",28
"rnk",135
"rna",132
"citT",6
"citG",8
"citX",3
"citF",6
"citE",9
"citD",2
"citC",14
"citA",50
"citB",30
"dcuC",14
"pagP",8
"cspE",3078
"flc",50
"ybeM",28
"tatE",179
"lipA",298
"ybeF",19
"lipB",122
"ybeD",138
"dacA",575
"rlpA",535
"mrdB",149
"mrdA",367
"rlmH",191
"rsfS",126
"cobC",56
"nadD",164
"holA",290
"lptE",511
"leuS",2081
"ybeL",59
"ybeQ",24
"ybeR",2
"djlB",11
"ybeT",0
"ybeU",6
"djlC",23
"hscC",12
"rihA",109
"gltL",147
"gltK",91
"gltJ",142
"gltI",574
"lnt",551
"ybeX",916
"ybeY",203
"ybeZ",500
"miaB",569
"ubiF",204
"glnX",92
"glnV",147
"metU",114
"glnW",208
"glnU",282
"leuW",232
"metT",10
"asnB",606
"umpH",319
"nagC",413
"nagA",198
"nagB",111
"nagE",377
"glnS",1546
"chiP",13
"chiQ",11
"fur",662
"uof",60
"fldA",403
"ybfE",38
"ybfF",82
"seqA",293
"pgm",1067
"ybfP",17
"ybfG",2
"ybfI",0
"potE",9
"speF",14
"ybfK",1
"kdpE",30
"kdpD",140
"kdpC",9
"kdpB",11
"kdpA",4
"kdpF",0
"ybfA",59
"rhsC",67
"ybfB",5
"rhsO",3
"ybfC",7
"ybfQ",2
"ybfL",4
"ybfD",3
"ybgA",13
"phr",54
"dtpD",85
"ybgI",285
"ybgJ",339
"ybgK",347
"ybgL",204
"nei",118
"abrB",55
"ybgO",18
"ybgP",8
"ybgQ",16
"ybgD",2
"gltA",2753
"sdhC",452
"sdhD",375
"sdhA",2706
"sdhB",1274
"sucA",4511
"sucB",3625
"sucC",2962
"sucD",2767
"mngR",34
"mngA",10
"mngB",55
"cydA",1874
"cydB",1276
"cydX",132
"ybgE",239
"ybgC",92
"tolQ",329
"tolR",127
"tolA",327
"tolB",1396
"pal",2454
"ybgF",1261
"lysT",278
"valT",604
"lysW",278
"valZ",314
"lysY",101
"lysZ",134
"lysQ",13
"nadA",261
"pnuC",193
"zitB",84
"ybgS",10
"aroG",2208
"gpmA",2227
"galM",568
"galK",281
"galT",165
"galE",214
"modF",574
"modE",105
"acrZ",47
"modA",266
"modB",161
"modC",291
"ybhA",116
"pgl",297
"ybhD",13
"ybhH",1
"ybhI",7
"ybhJ",34
"ybhC",537
"ybhB",81
"bioA",140
"bioB",260
"bioF",178
"bioC",80
"bioD",100
"uvrB",294
"ybhK",113
"moaA",136
"moaB",99
"moaC",98
"moaD",29
"moaE",104
"ybhL",179
"ybhM",11
"ybhN",18
"clsB",21
"ybhP",21
"ybhQ",32
"ybhR",68
"ybhS",148
"ybhF",436
"ybhG",274
"ybiH",87
"rhlE",302
"ybiA",12
"dinG",150
"ybiB",207
"ybiC",696
"ybiJ",45
"ybiI",46
"ybiX",301
"fiu",2173
"mcbA",3
"rlmF",110
"ybiO",37
"glnQ",353
"glnP",310
"glnH",1010
"dps",434
"rhtA",26
"ompX",2214
"opgE",101
"mntS",90
"mntR",88
"ybiR",156
"ldtB",617
"ybiT",587
"ybiU",60
"ybiV",76
"ybiW",31
"ybiY",2
"fsaA",28
"moeB",132
"moeA",231
"iaaA",440
"gsiA",876
"gsiB",645
"gsiC",244
"gsiD",189
"yliE",124
"yliF",54
"rimO",254
"bssR",37
"yliI",26
"gstB",242
"dacC",167
"deoR",143
"ybjG",86
"mdfA",47
"ybjH",33
"ybjI",99
"ybjJ",58
"rcdA",16
"rybB",9
"ybjL",208
"ybjM",19
"grxA",20
"ybjC",17
"nfsA",276
"rimK",218
"ybjN",90
"potF",265
"potG",201
"potH",110
"potI",79
"ybjO",35
"rlmC",89
"artJ",436
"artM",168
"artQ",125
"artI",208
"artP",109
"ybjP",66
"ybjQ",59
"amiD",130
"ybjS",143
"ybjT",285
