"","x"
"thrL",313
"thrA",8218
"thrB",2527
"thrC",2916
"yaaX",77
"yaaA",176
"yaaJ",37
"talB",3095
"mog",102
"satP",52
"yaaW",4
"yaaI",5
"dnaK",2986
"dnaJ",558
"insL1",0
"mokC",0
"hokC",0
"sokC",4
"nhaA",147
"nhaR",88
"insB1",73
"insA",28
"rpsT",1784
"yaaY",19
"ribF",650
"ileS",4950
"lspA",454
"fkpB",371
"ispH",450
"rihC",75
"dapB",755
"carA",6775
"carB",17370
"caiF",108
"caiE",28
"caiD",2
"caiC",63
"caiB",31
"caiA",25
"caiT",2
"fixA",2
"fixB",3
"fixC",10
"fixX",4
"yaaU",11
"kefF",35
"kefC",95
"folA",121
"apaH",245
"apaG",214
"rsmA",555
"pdxA",656
"surA",1418
"lptD",2603
"djlA",115
"yabP",131
"rluA",72
"rapA",367
"polB",116
"araD",1
"araA",21
"araB",10
"araC",100
"yabI",99
"thiQ",115
"thiP",368
"thiB",434
"sgrR",126
"sgrS",0
"sgrT",0
"setA",122
"leuD",1232
"leuC",2948
"leuB",2012
"leuA",2324
"leuL",79
"leuO",7
"ilvI",2390
"ilvH",817
"cra",530
"mraZ",185
"rsmH",406
"ftsL",115
"ftsI",443
"murE",670
"murF",798
"mraY",355
"murD",550
"ftsW",367
"murG",368
"murC",698
"ddlB",373
"ftsQ",313
"ftsA",740
"ftsZ",2677
"lpxC",3082
"secM",345
"secA",2090
"mutT",68
"yacG",91
"zapD",240
"coaE",100
"guaC",1104
"hofC",29
"hofB",29
"ppdD",4
"nadC",257
"ampD",80
"ampE",282
"aroP",3008
"pdhR",689
"aceE",12119
"aceF",6852
"lpd",9957
"yacH",54
"acnB",9930
"yacL",87
"speD",1411
"speE",1366
"yacC",58
"cueO",327
"gcd",1533
"hpt",303
"can",1407
"yadG",209
"yadH",168
"yadI",46
"yadE",61
"panD",427
"yadD",71
"panC",1117
"panB",846
"yadC",8
"yadK",3
"yadL",1
"yadM",3
"htrE",10
"yadV",3
"yadN",0
"folK",142
"pcnB",1413
"gluQ",61
"dksA",1137
"sfsA",174
"ligT",47
"hrpB",248
"mrcB",544
"fhuA",2955
"fhuC",499
"fhuD",268
"fhuB",436
"hemL",1062
"clcA",196
"erpA",332
"yadS",59
"btuF",124
"mtn",556
"dgt",226
"degP",763
"cdaR",37
"yaeH",278
"yaeI",71
"dapD",2263
"glnD",821
"map",1111
"tff",498
"rpsB",9606
"tsf",5155
"pyrH",1203
"frr",2073
"dxr",269
"ispU",567
"cdsA",459
"rseP",826
"bamA",4409
"skp",2042
"lpxD",2194
"fabZ",591
"lpxA",857
"lpxB",417
"rnhB",164
"dnaE",777
"accA",1000
"ldcC",155
"yaeR",60
"tilS",210
"rof",105
"yaeP",76
"yaeQ",84
"arfB",49
"nlpE",144
"yaeF",30
"proS",2420
"tsaA",183
"rcsF",236
"metQ",3844
"metI",536
"metN",593
"gmhB",203
"rrsH",5950
"ileV",0
"alaV",16
"rrlH",63141
"rrfH",0
"aspU",21
"dkgB",70
"yafC",60
"yafD",325
"yafE",75
"mltD",1051
"gloB",115
