"","x"
"thrL",230
"thrA",9330
"thrB",3395
"thrC",4246
"yaaX",126
"yaaA",118
"yaaJ",33
"talB",2298
"mog",104
"satP",44
"yaaW",10
"yaaI",7
"dnaK",4866
"dnaJ",1062
"insL1",0
"mokC",0
"hokC",0
"sokC",0
"nhaA",110
"nhaR",68
"insB1",67
"insA",24
"rpsT",1913
"yaaY",10
"ribF",471
"ileS",3673
"lspA",376
"fkpB",393
"ispH",500
"rihC",49
"dapB",628
"carA",1941
"carB",5716
"caiF",48
"caiE",17
"caiD",3
"caiC",26
"caiB",24
"caiA",27
"caiT",2
"fixA",1
"fixB",1
"fixC",2
"fixX",1
"yaaU",6
"kefF",14
"kefC",87
"folA",83
"apaH",236
"apaG",172
"rsmA",502
"pdxA",561
"surA",1152
"lptD",1817
"djlA",118
"yabP",74
"rluA",80
"rapA",370
"polB",95
"araD",3
"araA",12
"araB",13
"araC",64
"yabI",89
"thiQ",101
"thiP",154
"thiB",198
"sgrR",73
"sgrS",0
"sgrT",0
"setA",75
"leuD",782
"leuC",1681
"leuB",1193
"leuA",1008
"leuL",50
"leuO",5
"ilvI",1657
"ilvH",580
"cra",506
"mraZ",163
"rsmH",323
"ftsL",66
"ftsI",401
"murE",623
"murF",554
"mraY",303
"murD",456
"ftsW",352
"murG",343
"murC",608
"ddlB",336
"ftsQ",315
"ftsA",610
"ftsZ",1651
"lpxC",2770
"secM",326
"secA",1432
"mutT",41
"yacG",52
"zapD",215
"coaE",76
"guaC",501
"hofC",17
"hofB",21
"ppdD",3
"nadC",204
"ampD",63
"ampE",206
"aroP",2324
"pdhR",328
"aceE",6168
"aceF",4263
"lpd",5923
"yacH",32
"acnB",9741
"yacL",96
"speD",654
"speE",601
"yacC",60
"cueO",156
"gcd",854
"hpt",275
"can",953
"yadG",222
"yadH",178
"yadI",38
"yadE",75
"panD",357
"yadD",31
"panC",747
"panB",479
"yadC",5
"yadK",0
"yadL",5
"yadM",1
"htrE",2
"yadV",1
"yadN",0
"folK",118
"pcnB",999
"gluQ",56
"dksA",799
"sfsA",140
"ligT",22
"hrpB",207
"mrcB",441
"fhuA",1660
"fhuC",308
"fhuD",196
"fhuB",350
"hemL",615
"clcA",155
"erpA",312
"yadS",77
"btuF",131
"mtn",358
"dgt",141
"degP",520
"cdaR",40
"yaeH",131
"yaeI",69
"dapD",1820
"glnD",463
"map",739
"tff",269
"rpsB",6533
"tsf",3514
"pyrH",665
"frr",1446
"dxr",235
"ispU",507
"cdsA",344
"rseP",715
"bamA",3059
"skp",1313
"lpxD",1576
"fabZ",464
"lpxA",756
"lpxB",390
"rnhB",172
"dnaE",735
"accA",785
"ldcC",96
"yaeR",39
"tilS",160
"rof",72
"yaeP",40
"yaeQ",54
"arfB",40
"nlpE",102
"yaeF",35
"proS",1818
"tsaA",174
"rcsF",149
"metQ",1684
"metI",189
"metN",157
"gmhB",136
"rrsH",4067
"ileV",0
"alaV",13
"rrlH",79040
"rrfH",0
"aspU",38
"dkgB",49
"yafC",42
"yafD",262
"yafE",71
"mltD",966
"gloB",79
"yafS",67
"rnhA",73
"dnaQ",98
"aspV",11
"yafT",4
"ykfM",2
"yafU",1
"yafF",2
"yafV",42
"ivy",131
"fadE",124
"gmhA",286
"yafJ",316
"yafK",388
"yafQ",128
"dinJ",86
"yafL",10
"rayT",20
"lfhA",12
"lafU",10
"dinB",30
"yafN",16
"yafO",20
"yafP",10
"ykfJ",1
"prfH",19
"pepD",1110
"gpt",195
"frsA",147
"crl",12
"phoE",1
"proB",501
"proA",604
"thrW",18
"ykfN",3
"ykfI",11
"yafW",10
"ykfH",3
"ykfG",5
"yafX",30
"ykfF",18
"ykfB",165
"yafY",9
"ykfL",2
"ykfK",0
"yafZ",13
"ykfA",30
"perR",13
"insN",52
"insI1",2
"eyeA",7
"ykfC",56
"insH1",8
"mmuP",31
"mmuM",82
"afuC",12
"afuB",4
"insX",20
"yagB",25
"yagA",3
"yagE",13
"yagF",49
"yagG",7
"yagH",55
"yagI",134
"argF",493
"ykgS",0
"yagJ",21
"yagK",12
"yagL",6
"yagM",3
"yagN",54
"intF",105
"ptwF",1
"yagP",5
"ykgT",0
"paoD",11
"paoC",31
"paoB",4
"paoA",4
"yagU",484
"ykgJ",26
"ecpE",11
"ecpD",26
"ecpC",28
"ecpB",6
"ecpA",21
"ecpR",1
"ykgL",3
"ykgO",5
"ykgM",4
"ykgR",0
"ykgP",0
"eaeH",1
"insE1",0
"insF1",0
"ykgA",15
"ykgQ",1
"rclC",1
"rclB",0
"rclA",7
"rclR",7
"ykgE",5
"ykgF",25
"ykgG",8
"ykgH",6
"betA",149
"betB",206
"betI",84
"betT",113
"yahA",29
"yahB",45
"yahC",0
"yahD",5
"yahE",3
"yahF",2
"yahG",11
"yahI",4
"yahJ",77
"yahK",97
"yahL",1
"yahM",6
"yahN",2
"yahO",17
"prpR",16
"prpB",2
"prpC",5
"prpD",3
"prpE",12
"codB",762
"codA",1418
"cynR",46
"cynT",8
"cynS",6
"cynX",16
"lacA",4
"lacY",2
"lacZ",27
"lacI",99
"mhpR",46
"mhpA",1
"mhpB",5
"mhpC",8
"mhpD",3
"mhpF",8
"mhpE",9
"mhpT",16
"yaiL",97
"frmB",116
"frmA",297
"frmR",57
"yaiO",6
"yaiX",1
"insC1",0
"insD1",0
"yaiP",2
"yaiS",2
"tauA",18
"tauB",9
"tauC",9
"tauD",21
"hemB",385
"yaiT",41
"yaiV",6
"ampH",76
"sbmA",117
"yaiW",113
"yaiY",13
"yaiZ",11
"ddlA",172
"iraP",73
"phoA",160
"psiF",18
"yaiC",15
"proC",212
"yaiI",66
"aroL",597
"yaiA",222
"aroM",99
"yaiE",164
"ykiA",20
"rdgC",178
"mak",80
"araJ",42
"sbcC",248
"sbcD",55
"phoB",58
"phoR",58
"brnQ",264
"proY",135
"malZ",133
"acpH",52
"queA",251
"tgt",538
"yajC",489
"secD",1465
"secF",761
"yajD",50
"tsx",871
"yajI",12
"nrdR",127
"ribD",376
"ribE",453
"nusB",716
"thiL",225
"pgpA",197
"yajO",158
"dxs",721
"ispA",406
"xseB",89
"thiI",355
"yajL",141
"panE",137
"yajQ",368
"yajR",120
"cyoE",3576
"cyoD",1194
"cyoC",2479
"cyoB",7972
"cyoA",4412
"ampG",396
"yajG",274
"bolA",141
"tig",4417
"clpP",797
"clpX",1953
"lon",1999
"hupB",1580
"ppiD",1043
"ybaV",18
"fadM",14
"queC",135
"ybaE",36
"cof",45
"ybaO",29
"mdlA",80
"mdlB",63
"glnK",23
"amtB",150
"tesB",90
"ybaY",128
"ybaZ",43
"ffs",61
"ybaA",14
"ylaB",45
"ylaC",89
"maa",94
"hha",124
"tomB",74
"acrB",2897
"acrA",1271
"acrR",108
"mscK",366
"ybaM",27
"priC",53
"ybaN",126
"apt",397
"dnaX",691
"ybaB",336
"recR",481
"htpG",1212
"adk",899
"hemH",78
"aes",15
"gsk",248
"ybaL",361
"fsr",82
"ushA",285
"ybaK",79
"chiX",6
"ybaP",78
"ybaQ",96
"copA",494
"glsA",9
"ybaT",19
"cueR",55
"ybbJ",56
"qmcA",82
"fetA",70
"fetB",66
"ybbN",546
"ybbO",221
"tesA",123
"ybbA",60
"ybbP",142
"rhsD",49
"ybbC",12
"rhsH",11
"ybbD",3
"ylbI",2
"ylbG",13
"mnmH",37
"allS",1
"allA",5
"allR",327
"gcl",5
"hyi",4
"glxR",2
"ybbW",0
"allB",6
"ybbY",4
"glxK",19
"allE",58
"allC",18
"allD",4
"fdrA",4
"ylbE",2
"ylbF",10
"ybcF",35
"purK",723
"purE",368
"lpxH",197
"ppiB",819
"cysS",339
"ybcI",23
"ybcJ",109
"folD",451
"sfmA",1
"sfmC",3
"sfmD",6
"sfmH",0
"sfmF",0
"sfmZ",4
"argU",1
"intD",137
"xisD",0
"exoD",3
"peaD",1
"renD",11
"emrE",21
"ybcK",2
"ybcL",1
"ybcM",19
"ylcH",0
"ybcN",0
"ninE",0
"ybcO",0
"rusA",1
"ylcG",0
"quuD",2
"nmpC",708
"essD",11
"rrrD",11
"rzpD",14
"rzoD",0
"borD",61
"ybcV",3
"ybcW",4
"ylcI",1
"nohD",1
"aaaD",0
"tfaD",2
"ybcY",1
"tfaX",0
"appY",11
"ompT",5922
"pauD",1
"envY",6
"ybcH",15
"nfrA",61
"nfrB",21
"cusS",74
"cusR",44
"cusC",19
"cusF",17
"cusB",45
"cusA",85
"pheP",159
"ybdG",118
"nfsB",453
"ybdF",20
"ybdJ",22
"ybdK",30
"sokE",1
"hokE",3
"entD",198
"fepA",2698
"fes",438
"ybdZ",65
"entF",2100
"fepE",28
"fepC",171
"fepG",139
"fepD",162
"entS",366
"fepB",336
"entC",920
"entE",1263
"entB",791
"entA",611
"entH",336
"cstA",588
"ybdD",29
"ybdH",82
"ybdL",49
"ybdM",19
"ybdN",3
"ybdO",12
"dsbG",77
"ahpC",3727
"ahpF",638
"uspG",126
"ybdR",17
"rnk",133
"rna",169
"citT",2
"citG",3
"citX",1
"citF",6
"citE",5
"citD",0
"citC",8
"citA",49
"citB",28
"dcuC",9
"pagP",5
"cspE",3899
"flc",53
"ybeM",25
"tatE",154
"lipA",302
"ybeF",10
"lipB",112
"ybeD",143
"dacA",606
"rlpA",513
"mrdB",176
"mrdA",401
"rlmH",185
"rsfS",128
"cobC",65
"nadD",139
"holA",280
"lptE",429
"leuS",2039
"ybeL",66
"ybeQ",26
"ybeR",2
"djlB",5
"ybeT",1
"ybeU",4
"djlC",15
"hscC",12
"rihA",118
"gltL",130
"gltK",90
"gltJ",153
"gltI",606
"lnt",469
"ybeX",893
"ybeY",254
"ybeZ",484
"miaB",489
"ubiF",204
"glnX",55
"glnV",145
"metU",89
"glnW",199
"glnU",260
"leuW",223
"metT",5
"asnB",687
"umpH",263
"nagC",427
"nagA",175
"nagB",99
"nagE",386
"glnS",1329
"chiP",8
"chiQ",14
"fur",676
"uof",59
"fldA",338
"ybfE",38
"ybfF",76
"seqA",273
"pgm",1080
"ybfP",17
"ybfG",2
"ybfI",1
"potE",11
"speF",6
"ybfK",0
"kdpE",27
"kdpD",107
"kdpC",6
"kdpB",9
"kdpA",3
"kdpF",0
"ybfA",70
"rhsC",57
"ybfB",4
"rhsO",10
"ybfC",2
"ybfQ",2
"ybfL",2
"ybfD",2
"ybgA",13
"phr",71
"dtpD",92
"ybgI",352
"ybgJ",343
"ybgK",360
"ybgL",219
"nei",109
"abrB",56
"ybgO",10
"ybgP",1
"ybgQ",1
"ybgD",2
"gltA",2753
"sdhC",520
"sdhD",368
"sdhA",2454
"sdhB",1041
"sucA",4399
"sucB",3437
"sucC",2740
"sucD",2740
