"","x"
"thrL",170
"thrA",4424
"thrB",1630
"thrC",2256
"yaaX",49
"yaaA",63
"yaaJ",25
"talB",1460
"mog",45
"satP",20
"yaaW",2
"yaaI",3
"dnaK",3444
"dnaJ",558
"insL1",0
"mokC",0
"hokC",0
"sokC",0
"nhaA",71
"nhaR",31
"insB1",34
"insA",10
"rpsT",852
"yaaY",1
"ribF",322
"ileS",1978
"lspA",184
"fkpB",224
"ispH",290
"rihC",37
"dapB",367
"carA",607
"carB",1900
"caiF",19
"caiE",12
"caiD",7
"caiC",19
"caiB",12
"caiA",17
"caiT",3
"fixA",3
"fixB",4
"fixC",11
"fixX",2
"yaaU",12
"kefF",10
"kefC",52
"folA",49
"apaH",100
"apaG",90
"rsmA",243
"pdxA",272
"surA",729
"lptD",1151
"djlA",32
"yabP",81
"rluA",31
"rapA",189
"polB",47
"araD",2
"araA",7
"araB",3
"araC",40
"yabI",54
"thiQ",42
"thiP",67
"thiB",107
"sgrR",52
"sgrS",1
"sgrT",0
"setA",56
"leuD",564
"leuC",1277
"leuB",938
"leuA",768
"leuL",32
"leuO",9
"ilvI",1018
"ilvH",395
"cra",292
"mraZ",114
"rsmH",229
"ftsL",47
"ftsI",277
"murE",316
"murF",323
"mraY",136
"murD",261
"ftsW",203
"murG",195
"murC",367
"ddlB",184
"ftsQ",195
"ftsA",400
"ftsZ",1105
"lpxC",1567
"secM",191
"secA",848
"mutT",23
"yacG",40
"zapD",123
"coaE",66
"guaC",311
"hofC",14
"hofB",15
"ppdD",1
"nadC",126
"ampD",36
"ampE",141
"aroP",1338
"pdhR",150
"aceE",3447
"aceF",2439
"lpd",3497
"yacH",14
"acnB",5987
"yacL",53
"speD",347
"speE",315
"yacC",58
"cueO",114
"gcd",552
"hpt",172
"can",653
"yadG",176
"yadH",91
"yadI",25
"yadE",34
"panD",202
"yadD",29
"panC",503
"panB",307
"yadC",6
"yadK",2
"yadL",3
"yadM",2
"htrE",5
"yadV",4
"yadN",2
"folK",53
"pcnB",494
"gluQ",29
"dksA",569
"sfsA",108
"ligT",25
"hrpB",126
"mrcB",211
"fhuA",838
"fhuC",139
"fhuD",111
"fhuB",138
"hemL",423
"clcA",110
"erpA",173
"yadS",38
"btuF",59
"mtn",242
"dgt",113
"degP",312
"cdaR",26
"yaeH",116
"yaeI",36
"dapD",1102
"glnD",241
"map",407
"tff",235
"rpsB",3751
"tsf",2031
"pyrH",366
"frr",869
"dxr",129
"ispU",260
"cdsA",159
"rseP",454
"bamA",1784
"skp",826
"lpxD",973
"fabZ",329
"lpxA",433
"lpxB",228
"rnhB",96
"dnaE",443
"accA",437
"ldcC",91
"yaeR",21
"tilS",82
"rof",45
"yaeP",21
"yaeQ",30
"arfB",28
"nlpE",54
"yaeF",19
"proS",948
"tsaA",83
"rcsF",97
"metQ",926
"metI",124
"metN",89
"gmhB",92
"rrsH",5179
"ileV",0
"alaV",5
"rrlH",101277
"rrfH",0
"aspU",17
"dkgB",41
"yafC",29
"yafD",160
"yafE",54
"mltD",554
"gloB",48
"yafS",46
"rnhA",43
"dnaQ",75
"aspV",10
"yafT",8
"ykfM",3
"yafU",4
"yafF",3
"yafV",48
"ivy",94
"fadE",89
"gmhA",237
"yafJ",199
"yafK",180
"yafQ",56
"dinJ",37
"yafL",1
"rayT",14
"lfhA",8
"lafU",5
"dinB",25
"yafN",6
"yafO",9
"yafP",5
"ykfJ",0
"prfH",24
"pepD",866
"gpt",60
"frsA",79
"crl",17
"phoE",4
"proB",348
"proA",399
"thrW",9
"ykfN",0
"ykfI",3
"yafW",7
"ykfH",2
"ykfG",3
"yafX",29
"ykfF",12
"ykfB",91
"yafY",12
"ykfL",1
"ykfK",0
"yafZ",6
