"","x"
"bolA",421
"tig",5305
"clpP",1351
"clpX",2985
"lon",2651
"hupB",2161
"ppiD",1911
"ybaV",25
"fadM",30
"queC",203
"ybaE",53
"cof",71
"ybaO",34
"mdlA",92
"mdlB",60
"glnK",16
"amtB",134
"tesB",107
"ybaY",426
"ybaZ",74
"ffs",28
"ybaA",15
"ylaB",83
"ylaC",143
"maa",150
"hha",318
"tomB",126
"acrB",2536
"acrA",1527
"acrR",126
"mscK",562
"ybaM",51
"priC",112
"ybaN",158
"apt",534
"dnaX",732
"ybaB",597
"recR",579
"htpG",1788
"adk",1343
"hemH",97
"aes",31
"gsk",318
"ybaL",405
"fsr",107
"ushA",601
"ybaK",154
"chiX",6
"ybaP",107
"ybaQ",149
"copA",882
"glsA",61
"ybaT",31
"cueR",118
"ybbJ",90
"qmcA",192
"fetA",108
"fetB",104
"ybbN",981
"ybbO",256
"tesA",207
"ybbA",92
"ybbP",141
"rhsD",103
"ybbC",36
"rhsH",28
"ybbD",3
"ylbI",6
"ylbG",24
"mnmH",55
"allS",3
"allA",8
"allR",552
"gcl",16
"hyi",4
"glxR",9
"ybbW",4
"allB",19
"ybbY",5
"glxK",30
"allE",112
"allC",57
"allD",1
"fdrA",7
"ylbE",10
"ylbF",8
"ybcF",73
"purK",781
"purE",343
"lpxH",200
"ppiB",1576
"cysS",623
"ybcI",31
"ybcJ",150
"folD",622
"sfmA",3
"sfmC",0
"sfmD",17
"sfmH",7
"sfmF",3
"sfmZ",10
"argU",3
"intD",204
"xisD",1
"exoD",1
"peaD",3
"renD",42
"emrE",34
"ybcK",6
"ybcL",8
"ybcM",51
"ylcH",0
"ybcN",2
"ninE",1
"ybcO",1
"rusA",2
"ylcG",0
"quuD",0
"nmpC",2076
"essD",12
"rrrD",24
"rzpD",21
"rzoD",0
"borD",221
"ybcV",0
"ybcW",10
"ylcI",8
"nohD",0
"aaaD",2
"tfaD",3
"ybcY",23
"tfaX",5
"appY",48
"ompT",17837
"pauD",0
"envY",13
"ybcH",37
"nfrA",124
"nfrB",39
"cusS",99
"cusR",67
"cusC",85
"cusF",63
"cusB",79
"cusA",97
"pheP",133
"ybdG",175
"nfsB",404
"ybdF",56
"ybdJ",19
"ybdK",92
"sokE",1
"hokE",5
"entD",1113
"fepA",16846
"fes",1567
"ybdZ",504
"entF",9550
"fepE",62
"fepC",326
"fepG",176
"fepD",296
"entS",488
"fepB",739
"entC",4269
"entE",4497
"entB",3319
"entA",2041
"entH",1416
"cstA",1270
"ybdD",34
"ybdH",137
"ybdL",89
"ybdM",37
"ybdN",8
"ybdO",18
"dsbG",153
"ahpC",9191
"ahpF",1204
"uspG",363
"ybdR",44
"rnk",134
"rna",303
"citT",15
"citG",5
"citX",2
"citF",4
"citE",8
"citD",0
"citC",6
"citA",78
"citB",43
"dcuC",48
"pagP",11
"cspE",3624
"flc",45
"ybeM",63
"tatE",170
"lipA",431
"ybeF",19
"lipB",221
"ybeD",183
"dacA",774
"rlpA",917
"mrdB",135
"mrdA",323
"rlmH",174
"rsfS",202
"cobC",87
"nadD",232
"holA",428
"lptE",662
"leuS",2951
"ybeL",295
"ybeQ",67
"ybeR",4
"djlB",18
"ybeT",3
"ybeU",7
"djlC",30
"hscC",27
"rihA",120
"gltL",221
"gltK",101
"gltJ",131
"gltI",1355
"lnt",438
"ybeX",1452
"ybeY",277
"ybeZ",994
"miaB",457
"ubiF",333
"glnX",86
"glnV",120
"metU",66
"glnW",131
"glnU",151
"leuW",215
"metT",4
"asnB",1314
"umpH",412
"nagC",613
"nagA",331
"nagB",271
"nagE",709
"glnS",2188
"chiP",13
"chiQ",5
"fur",1179
"uof",99
"fldA",667
"ybfE",31
"ybfF",119
"seqA",696
"pgm",2034
"ybfP",24
"ybfG",2
"ybfI",1
"potE",31
"speF",17
"ybfK",1
"kdpE",61
"kdpD",199
"kdpC",6
"kdpB",15
"kdpA",14
"kdpF",0
"ybfA",63
"rhsC",45
"ybfB",0
"rhsO",12
"ybfC",13
"ybfQ",3
"ybfL",2
"ybfD",4
"ybgA",42
"phr",117
"dtpD",71
"ybgI",720
"ybgJ",564
"ybgK",620
"ybgL",338
"nei",174
"abrB",58
"ybgO",23
"ybgP",6
"ybgQ",8
"ybgD",2
"gltA",8677
"sdhC",418
"sdhD",263
"sdhA",1917
"sdhB",982
"sucA",7921
"sucB",4413
"sucC",5255
"sucD",4244
"mngR",65
"mngA",8
"mngB",60
"cydA",1826
"cydB",1435
"cydX",85
"ybgE",84
"ybgC",121
"tolQ",375
"tolR",128
"tolA",392
"tolB",2233
"pal",4273
"ybgF",1619
"lysT",190
"valT",426
"lysW",119
"valZ",189
"lysY",49
"lysZ",58
"lysQ",4
"nadA",728
"pnuC",415
"zitB",164
"ybgS",66
"aroG",3541
"gpmA",6821
"galM",1148
"galK",500
"galT",256
"galE",329
"modF",857
"modE",147
"acrZ",73
"modA",588
"modB",321
"modC",401
"ybhA",160
"pgl",772
"ybhD",27
"ybhH",4
"ybhI",7
"ybhJ",38
"ybhC",767
"ybhB",182
"bioA",179
"bioB",300
"bioF",152
"bioC",71
"bioD",97
"uvrB",474
"ybhK",197
"moaA",409
"moaB",426
"moaC",419
"moaD",82
"moaE",268
"ybhL",349
"ybhM",12
"ybhN",34
"clsB",109
"ybhP",66
"ybhQ",24
"ybhR",55
"ybhS",63
"ybhF",268
"ybhG",248
"ybiH",84
"rhlE",235
"ybiA",23
"dinG",106
"ybiB",542
"ybiC",1605
"ybiJ",104
"ybiI",268
"ybiX",1492
"fiu",15816
"mcbA",42
"rlmF",168
"ybiO",70
"glnQ",444
"glnP",390
"glnH",1602
"dps",3336
"rhtA",29
"ompX",3909
"opgE",64
"mntS",71
"mntR",209
"ybiR",115
"ldtB",925
"ybiT",706
"ybiU",139
"ybiV",208
"ybiW",44
"ybiY",8
"fsaA",42
"moeB",166
"moeA",400
"iaaA",776
"gsiA",1133
"gsiB",636
"gsiC",204
"gsiD",145
"yliE",117
"yliF",65
"rimO",219
"bssR",122
"yliI",49
"gstB",588
"dacC",413
"deoR",196
"ybjG",111
"mdfA",75
"ybjH",57
"ybjI",181
"ybjJ",95
"rcdA",26
"rybB",10
"ybjL",244
"ybjM",30
"grxA",15
"ybjC",31
"nfsA",264
"rimK",153
"ybjN",175
"potF",525
"potG",219
"potH",100
"potI",69
"ybjO",27
"rlmC",115
"artJ",596
"artM",143
"artQ",170
"artI",594
"artP",289
"ybjP",404
"ybjQ",121
"amiD",202
"ybjS",213
"ybjT",399
"ltaE",539
"poxB",691
"hcr",31
"hcp",7
"ybjE",72
"aqpZ",27
"ybjD",367
"ybjX",663
"macA",268
"macB",253
"cspD",538
"clpS",443
"clpA",8115
"serW",4
"infA",597
"aat",141
"cydC",404
"cydD",328
"trxB",1495
"lrp",1846
"ftsK",2030
"lolA",463
"rarA",295
"serS",2372
"dmsA",80
"dmsB",14
"dmsC",27
"ycaC",151
"ycaD",95
"ycaM",14
"ycaN",26
"ycaK",10
"pflA",133
"pflB",12923
"focA",413
"ycaO",477
"ycaP",49
"serC",6436
"aroA",2368
"ycaL",31
"cmk",614
"rpsA",20204
"ihfB",1578
"ycaI",48
"msbA",661
"lpxK",187
"ycaQ",62
"ycaR",30
"kdsB",485
"ycbJ",102
"elyC",41
"smtA",269
"mukF",522
"mukE",463
"mukB",2355
"ldtD",532
"ycbK",985
"ycbL",777
"aspC",4715
"ompF",41103
"asnS",3324
"pncB",1145
"pepN",2439
"ssuB",50
"ssuC",8
"ssuD",18
"ssuA",17
"ssuE",10
"elfA",5
"elfD",3
"elfC",28
"elfG",39
"ycbU",13
"ycbV",15
"ycbF",44
"pyrD",205
"zapC",139
"ycbX",327
"rlmL",571
"uup",498
"pqiA",82
"pqiB",208
"pqiC",69
"rmf",2529
"fabA",1169
"ycbZ",577
"matP",109
"ompA",45454
"sulA",95
"sxy",55
"yccS",299
"yccF",44
"helD",498
"mgsA",394
"yccT",12
"yccU",151
"hspQ",487
"rlmI",312
"yccX",54
"tusE",59
"yccA",1187
"serT",2
"hyaA",14
"hyaB",5
"hyaC",2
"hyaD",10
"hyaE",10
"hyaF",13
"cbdA",49
"cbdB",39
"cbdX",6
"appA",72
"etk",86
"etp",6
"gfcE",24
"gfcD",37
"gfcC",6
"gfcB",4
"gfcA",16
"cspH",4
"cspG",119
"ymcE",0
"gnsA",50
"yccM",35
"torS",67
"torT",28
"torR",55
"torC",7
"torA",38
"torD",21
"cbpM",87
"cbpA",368
"yccE",17
"agp",152
"yccJ",395
"wrbA",642
"ymdF",38
"rutG",37
"rutF",16
"rutE",8
"rutD",8
"rutC",1
"rutB",8
"rutA",6
"rutR",59
"putA",488
"putP",573
"efeU",538
"efeO",1179
"efeB",826
"phoH",770
"pgaD",27
"pgaC",22
"pgaB",23
"pgaA",32
"ycdT",97
"ymdE",1
"ycdU",2
"serX",1
"ghrA",662
"ycdX",534
"ycdY",444
"ycdZ",161
"csgG",187
"csgF",73
"csgE",97
"csgD",219
"csgB",1
"csgA",31
"csgC",2
"ymdA",280
"ymdB",242
"clsC",173
"opgC",87
"opgG",1536
"opgH",1232
"yceK",277
"msyB",389
"mdtG",36
"lpxL",138
"yceA",239
"yceI",255
"yceJ",16
"yceO",3
"solA",550
"bssS",130
"dinI",143
"pyrC",1188
"yceB",181
"grxB",494
"mdtH",34
"rimJ",332
"yceH",442
"yceM",321
"murJ",236
"flgN",1613
"flgM",781
"flgA",1266
"flgB",2050
"flgC",1649
"flgD",4157
"flgE",9620
"flgF",2453
"flgG",3419
"flgH",1042
"flgI",1058
"flgJ",761
"flgK",4626
"flgL",4535
"rne",4001
"yceQ",194
"rluC",213
"yceF",220
"psrD",48
"yceD",3548
"rpmF",2519
"plsX",1386
"fabH",1198
"fabD",1888
"fabG",2810
"acpP",4737
"fabF",2644
"pabC",100
"yceG",113
"tmk",176
"holB",152
"ycfH",224
"ptsG",7009
"fhuE",2491
"hinT",324
"ycfL",307
"lpoB",685
"thiK",170
"nagZ",288
"ycfP",454
"ndh",601
"ycfJ",71
"ycfQ",384
"bhsA",14
"ldtC",88
"mfd",1160
"ycfT",9
"lolC",363
"lolD",203
"lolE",421
"nagK",339
"cobB",368
"ycfZ",11
"ymfA",10
"potD",1910
"potC",213
"potB",307
"potA",507
"pepT",452
"roxA",542
"phoQ",495
"phoP",566
"purB",1475
"hflD",388
"mnmA",686
"nudJ",98
"rluE",80
"icd",22237
"ymfD",27
"ymfE",15
"lit",50
"intE",42
"xisE",9
"ymfI",103
"ymfJ",13
"cohE",167
"croE",0
"ymfL",11
"ymfM",2
"oweE",2
"aaaE",11
"ymfR",0
"beeE",2
"jayE",8
"ymfQ",4
"stfP",1
"tfaP",4
"tfaE",5
"stfE",1
"pinE",2
"mcrA",38
"icdC",1
"iraM",7
"ycgX",8
"bluR",358
"bluF",126
"ycgZ",13
"ymgA",13
"ariR",5
"ymgC",5
"ycgG",22
"ymgF",2
"ycgH",59
"ymgD",31
"ymgG",30
"ymgI",4
"ymgJ",3
"ycgI",8
"minE",472
"minD",1254
"minC",730
"ycgJ",93
"pliG",111
"ycgL",153
"ycgM",283
"ycgN",128
"hlyE",4
"umuD",14
"umuC",41
"dsbB",227
"nhaB",565
"fadR",243
"ycgB",358
"dadA",284
"dadX",218
"cvrA",319
"ldcA",169
"emtA",549
"ycgR",2715
"ymgE",39
"ycgY",6
"treA",54
"dhaM",498
"dhaL",150
"dhaK",407
"dhaR",134
"ycgV",79
"ychF",684
"pth",104
"ychH",56
"dauA",79
"prs",2974
"ispE",435
"lolB",275
"hemA",400
"prfA",334
"prmC",91
"ychQ",24
"ychA",359
"kdsA",887
"ldrA",0
"rdlA",15
"ldrB",1
"rdlB",0
"ldrC",0
"rdlC",2
"chaA",263
"chaB",13
"chaC",105
"ychN",215
"ychO",127
"narL",250
"narX",186
"narK",18
"narG",114
"narH",40
"narJ",22
"narI",34
"rttR",15
"tpr",0
"tyrV",94
"tyrT",24
"purU",899
"ychJ",190
"rssA",290
"rssB",243
"galU",882
"hns",2741
"tdk",119
"insZ",42
"adhE",10070
"ychE",34
"oppA",27780
"oppB",1742
"oppC",1397
"oppD",1666
"oppF",1736
"yciU",275
"clsA",577
"yciY",59
"kch",120
"yciI",304
"tonB",1147
"yciA",77
"yciB",138
"yciC",145
"ompW",255
"yciE",52
"yciF",31
"yciG",16
"trpA",1660
"trpB",2323
"trpC",1421
"trpD",1278
"trpE",1284
"trpL",11
"yciV",164
"yciO",244
"yciQ",109
"rluB",318
"btuR",166
"yciK",272
"sohB",704
"yciN",90
"topA",1890
"cysB",505
"ymiA",6
"yciX",57
"acnA",1267
"ribA",317
"pgpB",120
"yciS",117
"yciM",288
"pyrF",181
"yciH",141
"osmB",35
"yciT",459
"yciZ",57
"gmr",228
"ymiB",0
"rnb",1949
"yciW",240
"fabI",2882
"ycjD",8
"sapF",142
"sapD",157
"sapC",72
"sapB",88
"sapA",288
"ymjA",48
"puuP",124
"puuA",436
"puuD",161
"puuR",155
"puuC",259
"puuB",170
"puuE",145
"pspF",93
"pspA",202
"pspB",19
"pspC",43
"pspD",23
"pspE",84
"ycjM",8
"ycjN",3
"ycjO",3
"ycjP",7
