"","x"
"thrL",303
"thrA",14665
"thrB",4397
"thrC",4807
"yaaX",87
"yaaA",228
"yaaJ",80
"talB",3431
"mog",128
"satP",77
"yaaW",17
"yaaI",13
"dnaK",7798
"dnaJ",1136
"insL1",0
"mokC",0
"hokC",0
"sokC",2
"nhaA",406
"nhaR",231
"insB1",117
"insA",43
"rpsT",1591
"yaaY",14
"ribF",724
"ileS",5804
"lspA",508
"fkpB",433
"ispH",486
"rihC",86
"dapB",1251
"carA",1410
"carB",3431
"caiF",44
"caiE",16
"caiD",26
"caiC",99
"caiB",82
"caiA",59
"caiT",48
"fixA",20
"fixB",15
"fixC",23
"fixX",3
"yaaU",30
"kefF",49
"kefC",193
"folA",84
"apaH",335
"apaG",291
"rsmA",647
"pdxA",679
"surA",1795
"lptD",3238
"djlA",120
"yabP",236
"rluA",127
"rapA",523
"polB",175
"araD",31
"araA",37
"araB",41
"araC",155
"yabI",110
"thiQ",108
"thiP",352
"thiB",607
"sgrR",176
"sgrS",1
"sgrT",0
"setA",286
"leuD",4346
"leuC",9963
"leuB",6012
"leuA",9031
"leuL",103
"leuO",46
"ilvI",2294
"ilvH",881
"cra",572
"mraZ",291
"rsmH",507
"ftsL",166
"ftsI",609
"murE",851
"murF",1085
"mraY",412
"murD",860
"ftsW",495
"murG",499
"murC",883
"ddlB",612
"ftsQ",487
"ftsA",1140
"ftsZ",3875
"lpxC",4343
"secM",440
"secA",2869
"mutT",43
"yacG",111
"zapD",357
"coaE",139
"guaC",804
"hofC",32
"hofB",48
"ppdD",4
"nadC",293
"ampD",101
"ampE",305
"aroP",3306
"pdhR",547
"aceE",19775
"aceF",11671
"lpd",8500
"yacH",76
"acnB",3874
"yacL",150
"speD",1103
"speE",1096
"yacC",73
"cueO",553
"gcd",1324
"hpt",283
"can",1798
"yadG",358
"yadH",232
"yadI",86
"yadE",88
"panD",678
"yadD",121
"panC",1625
"panB",1169
"yadC",62
"yadK",36
"yadL",18
"yadM",15
"htrE",62
"yadV",16
"yadN",3
"folK",148
"pcnB",1269
"gluQ",95
"dksA",1750
"sfsA",387
"ligT",64
"hrpB",297
"mrcB",627
"fhuA",3875
"fhuC",435
"fhuD",229
"fhuB",441
"hemL",1114
"clcA",379
"erpA",419
"yadS",89
"btuF",162
"mtn",653
"dgt",309
"degP",1199
"cdaR",63
"yaeH",637
"yaeI",87
"dapD",2905
"glnD",938
"map",1033
"tff",230
"rpsB",7877
"tsf",4207
"pyrH",799
"frr",2014
"dxr",344
"ispU",476
"cdsA",416
"rseP",1003
"bamA",4867
"skp",2167
"lpxD",3019
"fabZ",779
"lpxA",1133
"lpxB",516
"rnhB",177
"dnaE",912
"accA",975
"ldcC",383
"yaeR",109
"tilS",304
"rof",203
"yaeP",105
"yaeQ",77
"arfB",70
"nlpE",187
"yaeF",45
"proS",2709
"tsaA",178
"rcsF",261
"metQ",5926
"metI",1036
"metN",1703
"gmhB",249
"rrsH",4005
"ileV",0
"alaV",11
"rrlH",50137
"rrfH",0
"aspU",54
"dkgB",156
"yafC",154
"yafD",614
"yafE",68
"mltD",1002
"gloB",237
"yafS",150
"rnhA",94
"dnaQ",273
"aspV",15
"yafT",24
"ykfM",26
"yafU",25
"yafF",20
"yafV",136
"ivy",593
"fadE",106
"gmhA",605
