"","x"
"thrL",199
"thrA",14471
"thrB",4401
"thrC",4721
"yaaX",104
"yaaA",191
"yaaJ",68
"talB",2831
"mog",112
"satP",62
"yaaW",12
"yaaI",2
"dnaK",6880
"dnaJ",911
"insL1",0
"mokC",0
"hokC",0
"sokC",2
"nhaA",301
"nhaR",183
"insB1",75
"insA",51
"rpsT",1632
"yaaY",20
"ribF",661
"ileS",5328
"lspA",494
"fkpB",395
"ispH",478
"rihC",52
"dapB",1068
"carA",1376
"carB",3546
"caiF",32
"caiE",10
"caiD",9
"caiC",49
"caiB",49
"caiA",43
"caiT",19
"fixA",3
"fixB",11
"fixC",13
"fixX",2
"yaaU",18
"kefF",46
"kefC",159
"folA",91
"apaH",280
"apaG",239
"rsmA",608
"pdxA",548
"surA",1583
"lptD",2598
"djlA",110
"yabP",181
"rluA",123
"rapA",472
"polB",170
"araD",8
"araA",41
"araB",15
"araC",129
"yabI",125
"thiQ",91
"thiP",251
"thiB",432
"sgrR",114
"sgrS",2
"sgrT",0
"setA",193
"leuD",3423
"leuC",7441
"leuB",4649
"leuA",6098
"leuL",64
"leuO",35
"ilvI",2075
"ilvH",800
"cra",439
"mraZ",234
"rsmH",450
"ftsL",165
"ftsI",513
"murE",882
"murF",984
"mraY",383
"murD",746
"ftsW",442
"murG",477
"murC",846
"ddlB",593
"ftsQ",544
"ftsA",1026
"ftsZ",3541
"lpxC",4394
"secM",355
"secA",2515
"mutT",63
"yacG",71
"zapD",284
"coaE",119
"guaC",737
"hofC",25
"hofB",45
"ppdD",1
"nadC",234
"ampD",87
"ampE",260
"aroP",2578
"pdhR",545
"aceE",17858
"aceF",10462
"lpd",7806
"yacH",32
"acnB",3500
"yacL",116
"speD",891
"speE",875
"yacC",62
"cueO",469
"gcd",964
"hpt",260
"can",1435
"yadG",247
"yadH",203
"yadI",67
"yadE",88
"panD",589
"yadD",75
"panC",1473
"panB",951
"yadC",18
"yadK",10
"yadL",10
"yadM",9
"htrE",29
"yadV",3
"yadN",1
"folK",90
"pcnB",1071
"gluQ",81
"dksA",1481
"sfsA",305
"ligT",26
"hrpB",260
"mrcB",598
"fhuA",3251
"fhuC",487
"fhuD",272
"fhuB",504
"hemL",949
"clcA",358
"erpA",430
"yadS",78
"btuF",103
"mtn",517
"dgt",219
"degP",1055
"cdaR",48
"yaeH",546
"yaeI",62
"dapD",2550
"glnD",714
"map",999
"tff",177
"rpsB",7630
"tsf",3905
"pyrH",687
"frr",1782
"dxr",331
"ispU",384
"cdsA",327
"rseP",882
"bamA",4383
"skp",2195
"lpxD",2867
"fabZ",709
"lpxA",1118
"lpxB",497
"rnhB",134
"dnaE",853
"accA",904
"ldcC",236
"yaeR",62
"tilS",243
"rof",150
"yaeP",72
"yaeQ",65
"arfB",82
"nlpE",154
"yaeF",26
"proS",2228
"tsaA",142
"rcsF",189
"metQ",5193
"metI",912
"metN",1351
"gmhB",240
"rrsH",2836
"ileV",0
"alaV",13
"rrlH",47271
"rrfH",0
"aspU",59
"dkgB",100
"yafC",124
"yafD",465
"yafE",77
"mltD",987
"gloB",195
"yafS",113
"rnhA",83
"dnaQ",222
"aspV",19
"yafT",2
"ykfM",11
"yafU",2
"yafF",13
"yafV",132
"ivy",478
"fadE",66
"gmhA",527
"yafJ",457
"yafK",438
"yafQ",110
"dinJ",85
"yafL",14
"rayT",31
"lfhA",20
"lafU",9
"dinB",84
"yafN",7
"yafO",22
"yafP",13
"ykfJ",0
"prfH",40
"pepD",2189
"gpt",193
"frsA",375
"crl",52
"phoE",3
"proB",919
"proA",1091
"thrW",20
"ykfN",4
"ykfI",24
"yafW",10
"ykfH",6
"ykfG",13
"yafX",44
"ykfF",43
"ykfB",98
"yafY",14
"ykfL",1
"ykfK",1
"yafZ",24
"ykfA",61
"perR",35
"insN",68
"insI1",5
"eyeA",10
"ykfC",78
"insH1",12
"mmuP",239
"mmuM",303
"afuC",47
"afuB",18
"insX",41
"yagB",40
"yagA",7
"yagE",8
"yagF",52
"yagG",33
"yagH",88
"yagI",260
"argF",1248
"ykgS",0
"yagJ",34
"yagK",25
"yagL",5
"yagM",10
"yagN",103
"intF",253
"ptwF",2
"yagP",14
"ykgT",0
"paoD",25
"paoC",57
"paoB",20
"paoA",9
"yagU",1781
"ykgJ",67
"ecpE",24
"ecpD",40
"ecpC",52
"ecpB",7
"ecpA",52
"ecpR",11
"ykgL",669
"ykgO",4234
"ykgM",4636
"ykgR",10
"ykgP",3
"eaeH",10
"insE1",0
"insF1",0
"ykgA",29
"ykgQ",2
"rclC",12
"rclB",6
"rclA",66
"rclR",10
"ykgE",8
"ykgF",41
"ykgG",40
"ykgH",1
"betA",159
"betB",261
"betI",67
"betT",130
"yahA",96
"yahB",49
"yahC",7
"yahD",26
"yahE",5
"yahF",17
"yahG",34
"yahI",16
"yahJ",103
"yahK",530
"yahL",0
"yahM",11
"yahN",7
"yahO",317
"prpR",27
"prpB",9
"prpC",8
"prpD",4
"prpE",28
"codB",477
"codA",819
"cynR",46
"cynT",18
"cynS",19
"cynX",34
"lacA",24
"lacY",12
"lacZ",34
"lacI",124
"mhpR",43
"mhpA",11
"mhpB",5
"mhpC",10
"mhpD",6
"mhpF",7
"mhpE",14
"mhpT",43
"yaiL",114
"frmB",96
"frmA",390
"frmR",56
"yaiO",17
"yaiX",10
"insC1",0
"insD1",6
"yaiP",4
"yaiS",5
"tauA",25
"tauB",26
"tauC",19
"tauD",38
"hemB",634
"yaiT",84
"yaiV",9
"ampH",136
"sbmA",103
