"","x"
"thrL",361
"thrA",6778
"thrB",2137
"thrC",2425
"yaaX",67
"yaaA",167
"yaaJ",56
"talB",2797
"mog",90
"satP",61
"yaaW",10
"yaaI",11
"dnaK",3113
"dnaJ",545
"insL1",0
"mokC",0
"hokC",0
"sokC",2
"nhaA",142
"nhaR",86
"insB1",84
"insA",42
"rpsT",1392
"yaaY",16
"ribF",634
"ileS",3985
"lspA",374
"fkpB",348
"ispH",372
"rihC",43
"dapB",598
"carA",3291
"carB",9834
"caiF",68
"caiE",25
"caiD",4
"caiC",41
"caiB",35
"caiA",26
"caiT",7
"fixA",3
"fixB",3
"fixC",7
"fixX",2
"yaaU",4
"kefF",22
"kefC",94
"folA",81
"apaH",230
"apaG",154
"rsmA",376
"pdxA",504
"surA",1222
"lptD",2225
"djlA",103
"yabP",131
"rluA",58
"rapA",305
"polB",109
"araD",3
"araA",17
"araB",8
"araC",101
"yabI",114
"thiQ",87
"thiP",222
"thiB",347
"sgrR",130
"sgrS",0
"sgrT",0
"setA",125
"leuD",1436
"leuC",3159
"leuB",2209
"leuA",2677
"leuL",92
"leuO",8
"ilvI",2404
"ilvH",805
"cra",495
"mraZ",206
"rsmH",426
"ftsL",118
"ftsI",444
"murE",566
"murF",617
"mraY",280
"murD",488
"ftsW",313
"murG",340
"murC",599
"ddlB",356
"ftsQ",340
"ftsA",656
"ftsZ",2343
"lpxC",2635
"secM",349
"secA",1569
"mutT",49
"yacG",83
"zapD",230
"coaE",115
"guaC",826
"hofC",33
"hofB",24
"ppdD",3
"nadC",231
"ampD",84
"ampE",256
"aroP",2595
"pdhR",547
"aceE",10936
"aceF",6416
"lpd",8018
"yacH",46
"acnB",8578
"yacL",94
"speD",945
"speE",877
"yacC",82
"cueO",988
"gcd",1553
"hpt",282
"can",1299
"yadG",217
"yadH",154
"yadI",48
"yadE",83
"panD",382
"yadD",69
"panC",929
"panB",633
"yadC",15
"yadK",4
"yadL",9
"yadM",2
"htrE",11
"yadV",4
"yadN",1
"folK",111
"pcnB",979
"gluQ",44
"dksA",1008
"sfsA",223
"ligT",37
"hrpB",200
"mrcB",481
"fhuA",2781
"fhuC",433
"fhuD",249
"fhuB",387
"hemL",984
"clcA",200
"erpA",301
"yadS",76
"btuF",127
"mtn",492
"dgt",287
"degP",719
"cdaR",46
"yaeH",314
"yaeI",71
"dapD",2062
"glnD",808
"map",896
"tff",328
"rpsB",7234
"tsf",4010
"pyrH",875
"frr",1635
"dxr",233
"ispU",391
"cdsA",334
"rseP",776
"bamA",3732
"skp",1621
"lpxD",1847
"fabZ",533
"lpxA",740
"lpxB",360
"rnhB",131
"dnaE",628
"accA",840
"ldcC",136
"yaeR",35
"tilS",204
"rof",127
"yaeP",94
"yaeQ",81
"arfB",60
"nlpE",136
"yaeF",28
"proS",1713
"tsaA",109
"rcsF",192
"metQ",2581
"metI",365
"metN",394
"gmhB",190
"rrsH",5113
"ileV",0
"alaV",10
"rrlH",52084
"rrfH",0
"aspU",23
"dkgB",79
"yafC",79
"yafD",400
"yafE",71
"mltD",886
"gloB",129
"yafS",111
"rnhA",66
"dnaQ",137
"aspV",16
"yafT",7
"ykfM",4
"yafU",4
"yafF",4
"yafV",109
"ivy",237
"fadE",168
"gmhA",444
"yafJ",434
"yafK",373
"yafQ",131
"dinJ",94
"yafL",16
"rayT",28
"lfhA",14
"lafU",3
"dinB",57
"yafN",15
"yafO",15
"yafP",7
"ykfJ",0
"prfH",54
"pepD",1804
"gpt",172
"frsA",212
"crl",32
"phoE",2
"proB",761
"proA",788
"thrW",19
"ykfN",2
"ykfI",13
"yafW",2
"ykfH",3
"ykfG",12
"yafX",32
"ykfF",14
"ykfB",233
"yafY",26
"ykfL",0
"ykfK",0
"yafZ",14
"ykfA",40
"perR",31
"insN",60
"insI1",1
"eyeA",6
"ykfC",59
"insH1",4
"mmuP",52
"mmuM",115
"afuC",18
"afuB",1
"insX",34
"yagB",32
"yagA",5
"yagE",13
"yagF",35
"yagG",20
"yagH",62
"yagI",228
"argF",1079
"ykgS",1
"yagJ",18
"yagK",20
"yagL",7
"yagM",2
"yagN",128
"intF",129
"ptwF",4
"yagP",20
"ykgT",0
"paoD",28
"paoC",35
"paoB",20
"paoA",17
"yagU",824
"ykgJ",46
"ecpE",10
"ecpD",38
"ecpC",31
"ecpB",3
"ecpA",37
"ecpR",1
"ykgL",16
"ykgO",20
"ykgM",46
"ykgR",2
"ykgP",1
"eaeH",2
"insE1",0
"insF1",0
"ykgA",30
"ykgQ",1
"rclC",4
"rclB",0
"rclA",28
"rclR",7
"ykgE",9
"ykgF",25
"ykgG",35
"ykgH",0
"betA",150
"betB",276
"betI",98
"betT",111
"yahA",32
"yahB",33
"yahC",6
"yahD",12
"yahE",12
"yahF",9
"yahG",24
"yahI",5
"yahJ",121
"yahK",228
"yahL",5
"yahM",2
"yahN",9
"yahO",81
"prpR",17
"prpB",2
"prpC",1
"prpD",12
"prpE",16
"codB",1524
"codA",2380
"cynR",22
"cynT",10
"cynS",11
"cynX",13
"lacA",9
"lacY",11
"lacZ",14
"lacI",137
"mhpR",89
"mhpA",12
"mhpB",9
"mhpC",11
