"","x"
"thrL",711
"thrA",17805
"thrB",5499
"thrC",6751
"yaaX",152
"yaaA",288
"yaaJ",61
"talB",4780
"mog",171
"satP",92
"yaaW",18
"yaaI",12
"dnaK",9895
"dnaJ",1580
"insL1",0
"mokC",0
"hokC",0
"sokC",1
"nhaA",326
"nhaR",163
"insB1",105
"insA",63
"rpsT",4503
"yaaY",6
"ribF",936
"ileS",6735
"lspA",649
"fkpB",458
"ispH",719
"rihC",101
"dapB",1622
"carA",5356
"carB",12522
"caiF",133
"caiE",36
"caiD",9
"caiC",66
"caiB",50
"caiA",56
"caiT",25
"fixA",12
"fixB",13
"fixC",27
"fixX",1
"yaaU",19
"kefF",45
"kefC",166
"folA",265
"apaH",292
"apaG",279
"rsmA",806
"pdxA",828
"surA",2100
"lptD",3785
"djlA",176
"yabP",227
"rluA",132
"rapA",668
"polB",152
"araD",7
"araA",40
"araB",33
"araC",230
"yabI",148
"thiQ",158
"thiP",411
"thiB",786
"sgrR",156
"sgrS",1
"sgrT",0
"setA",209
"leuD",2989
"leuC",6481
"leuB",4166
"leuA",4419
"leuL",175
"leuO",34
"ilvI",3270
"ilvH",1158
"cra",710
"mraZ",479
"rsmH",749
"ftsL",232
"ftsI",822
"murE",1189
"murF",1204
"mraY",513
"murD",891
"ftsW",599
"murG",592
"murC",987
"ddlB",704
"ftsQ",613
"ftsA",1349
"ftsZ",4024
"lpxC",5039
"secM",636
"secA",3582
"mutT",91
"yacG",125
"zapD",402
"coaE",208
"guaC",1716
"hofC",44
"hofB",29
"ppdD",4
"nadC",390
"ampD",106
"ampE",305
"aroP",3769
"pdhR",406
"aceE",14742
"aceF",8574
"lpd",13939
"yacH",60
"acnB",18108
"yacL",163
"speD",1978
"speE",1710
"yacC",82
"cueO",488
"gcd",1791
"hpt",574
"can",2689
"yadG",397
"yadH",248
"yadI",59
"yadE",80
"panD",1167
"yadD",81
"panC",1836
"panB",1236
"yadC",31
"yadK",15
"yadL",16
"yadM",13
"htrE",38
"yadV",8
"yadN",9
"folK",192
"pcnB",1921
"gluQ",144
"dksA",2124
"sfsA",368
"ligT",85
"hrpB",334
"mrcB",818
"fhuA",5352
"fhuC",665
"fhuD",371
