"","x"
"ampG",282
"yajG",294
"bolA",918
"tig",6893
"clpP",2120
"clpX",4677
"lon",3299
"hupB",3854
"ppiD",2651
"ybaV",15
"fadM",24
"queC",309
"ybaE",67
"cof",94
"ybaO",51
"mdlA",179
"mdlB",135
"glnK",1
"amtB",119
"tesB",253
"ybaY",868
"ybaZ",88
"ffs",133
"ybaA",34
"ylaB",138
"ylaC",167
"maa",155
"hha",426
"tomB",185
"acrB",5492
"acrA",2665
"acrR",212
"mscK",757
"ybaM",35
"priC",114
"ybaN",251
"apt",767
"dnaX",958
"ybaB",947
"recR",967
"htpG",1097
"adk",1620
"hemH",138
"aes",34
"gsk",332
"ybaL",478
"fsr",147
"ushA",1100
"ybaK",267
"chiX",3
"ybaP",165
"ybaQ",216
"copA",1495
"glsA",425
"ybaT",277
"cueR",234
"ybbJ",154
"qmcA",327
"fetA",128
"fetB",158
"ybbN",1161
"ybbO",444
"tesA",302
"ybbA",159
"ybbP",312
"rhsD",135
"ybbC",30
"rhsH",34
"ybbD",10
"ylbI",2
"ylbG",31
"mnmH",52
"allS",11
"allA",19
"allR",1050
"gcl",40
"hyi",14
"glxR",9
"ybbW",1
"allB",20
"ybbY",14
"glxK",63
"allE",278
"allC",60
"allD",10
"fdrA",16
"ylbE",17
"ylbF",10
"ybcF",28
"purK",1095
"purE",620
"lpxH",273
"ppiB",2752
"cysS",806
"ybcI",30
"ybcJ",185
"folD",841
"sfmA",4
"sfmC",6
"sfmD",31
"sfmH",7
"sfmF",4
"sfmZ",16
"argU",4
"intD",258
"xisD",2
"exoD",6
"peaD",3
"renD",52
"emrE",59
"ybcK",11
"ybcL",12
"ybcM",112
"ylcH",4
"ybcN",9
"ninE",0
"ybcO",3
"rusA",2
"ylcG",1
"quuD",13
"nmpC",952
"essD",3
"rrrD",19
"rzpD",15
"rzoD",0
"borD",122
"ybcV",3
"ybcW",6
"ylcI",4
"nohD",1
"aaaD",5
"tfaD",7
"ybcY",19
"tfaX",1
"appY",121
"ompT",29101
"pauD",1
"envY",23
"ybcH",32
"nfrA",144
"nfrB",42
"cusS",79
"cusR",84
"cusC",12
"cusF",8
"cusB",22
"cusA",39
"pheP",154
"ybdG",302
"nfsB",584
"ybdF",89
"ybdJ",31
"ybdK",199
"sokE",3
"hokE",2
"entD",997
"fepA",18979
"fes",2510
"ybdZ",612
"entF",17845
"fepE",54
"fepC",442
"fepG",262
"fepD",251
"entS",565
"fepB",982
"entC",7168
"entE",8135
"entB",4879
"entA",3634
"entH",1921
"cstA",1343
"ybdD",40
"ybdH",173
"ybdL",83
"ybdM",37
"ybdN",8
"ybdO",8
"dsbG",184
"ahpC",12295
"ahpF",1488
"uspG",359
"ybdR",99
"rnk",163
"rna",335
"citT",27
"citG",10
"citX",4
"citF",2
"citE",12
"citD",1
"citC",8
"citA",120
"citB",64
"dcuC",33
"pagP",19
"cspE",4870
"flc",36
"ybeM",175
"tatE",265
"lipA",672
"ybeF",44
"lipB",241
"ybeD",355
"dacA",1137
"rlpA",1214
"mrdB",247
"mrdA",296
"rlmH",221
"rsfS",162
"cobC",89
"nadD",273
"holA",498
"lptE",856
"leuS",3855
"ybeL",560
"ybeQ",96
"ybeR",1
"djlB",28
"ybeT",2
"ybeU",14
"djlC",55
"hscC",31
"rihA",87
"gltL",245
"gltK",162
"gltJ",193
"gltI",1913
"lnt",633
"ybeX",1507
"ybeY",443
"ybeZ",1207
"miaB",561
"ubiF",558
"glnX",65
"glnV",106
"metU",41
"glnW",142
"glnU",178
"leuW",120
"metT",16
"asnB",1733
"umpH",654
"nagC",859
"nagA",770
"nagB",589
"nagE",1001
"glnS",2599
"chiP",20
"chiQ",9
"fur",1371
"uof",117
"fldA",865
"ybfE",46
"ybfF",190
"seqA",748
"pgm",3314
"ybfP",26
"ybfG",7
"ybfI",2
"potE",52
"speF",17
"ybfK",2
"kdpE",85
"kdpD",349
"kdpC",19
"kdpB",30
"kdpA",13
"kdpF",0
"ybfA",188
"rhsC",90
"ybfB",7
"rhsO",10
"ybfC",14
"ybfQ",3
"ybfL",10
"ybfD",7
"ybgA",77
"phr",265
"dtpD",63
"ybgI",1199
"ybgJ",1078
"ybgK",1018
"ybgL",508
"nei",195
"abrB",77
"ybgO",42
"ybgP",10
"ybgQ",18
"ybgD",5
"gltA",8389
"sdhC",206
"sdhD",166
"sdhA",1087
"sdhB",455
"sucA",5983
"sucB",3708
"sucC",2971
"sucD",2588
"mngR",89
"mngA",11
"mngB",107
"cydA",1915
"cydB",1308
"cydX",122
"ybgE",250
"ybgC",203
"tolQ",472
"tolR",189
"tolA",568
"tolB",3886
"pal",5757
"ybgF",2177
"lysT",311
"valT",486
"lysW",185
"valZ",194
"lysY",76
"lysZ",89
"lysQ",14
"nadA",662
"pnuC",487
"zitB",221
"ybgS",310
"aroG",4810
"gpmA",15523
"galM",1887
"galK",362
"galT",306
"galE",362
"modF",1088
"modE",209
"acrZ",131
"modA",187
"modB",140
"modC",247
"ybhA",186
"pgl",1775
"ybhD",38
"ybhH",4
"ybhI",5
"ybhJ",46
"ybhC",1124
"ybhB",505
"bioA",933
"bioB",1132
"bioF",787
"bioC",383
"bioD",360
"uvrB",922
"ybhK",209
"moaA",417
"moaB",624
"moaC",515
"moaD",123
"moaE",482
"ybhL",578
"ybhM",30
"ybhN",102
"clsB",220
"ybhP",161
"ybhQ",58
"ybhR",97
"ybhS",131
"ybhF",408
"ybhG",376
"ybiH",137
"rhlE",238
"ybiA",23
"dinG",146
"ybiB",733
"ybiC",2058
"ybiJ",130
"ybiI",254
"ybiX",1334
"fiu",10248
"mcbA",46
"rlmF",142
"ybiO",155
"glnQ",698
"glnP",693
"glnH",1918
"dps",7457
"rhtA",47
"ompX",11131
"opgE",87
"mntS",182
"mntR",233
"ybiR",150
"ldtB",1529
"ybiT",1030
"ybiU",294
"ybiV",308
"ybiW",64
"ybiY",15
"fsaA",83
"moeB",265
"moeA",511
"iaaA",969
"gsiA",1204
"gsiB",949
"gsiC",327
"gsiD",207
"yliE",138
"yliF",72
"rimO",230
"bssR",127
"yliI",100
"gstB",1161
"dacC",901
"deoR",321
"ybjG",233
"mdfA",137
"ybjH",65
"ybjI",323
"ybjJ",193
"rcdA",32
"rybB",9
"ybjL",407
"ybjM",36
"grxA",40
"ybjC",38
"nfsA",383
"rimK",260
"ybjN",185
"potF",1067
"potG",405
"potH",206
"potI",172
"ybjO",56
"rlmC",126
"artJ",125
"artM",252
"artQ",307
"artI",707
"artP",331
"ybjP",602
"ybjQ",204
"amiD",435
"ybjS",294
"ybjT",606
"ltaE",925
"poxB",1576
"hcr",43
"hcp",13
"ybjE",74
"aqpZ",66
"ybjD",537
"ybjX",1126
"macA",375
"macB",440
"cspD",1768
"clpS",416
"clpA",12442
"serW",1
"infA",671
"aat",279
"cydC",444
"cydD",408
"trxB",2424
"lrp",2861
"ftsK",2841
"lolA",654
"rarA",520
"serS",3255
"dmsA",52
"dmsB",11
"dmsC",58
"ycaC",522
"ycaD",202
"ycaM",22
"ycaN",78
"ycaK",29
"pflA",134
"pflB",17296
"focA",537
"ycaO",476
"ycaP",93
"serC",12271
"aroA",5170
"ycaL",48
"cmk",609
"rpsA",24444
"ihfB",3393
"ycaI",74
"msbA",930
"lpxK",285
"ycaQ",88
"ycaR",85
"kdsB",680
"ycbJ",67
"elyC",73
"smtA",343
"mukF",640
"mukE",513
"mukB",3263
"ldtD",864
"ycbK",1144
"ycbL",1379
"aspC",5777
"ompF",20439
"asnS",3849
"pncB",1794
"pepN",3689
"ssuB",54
"ssuC",16
"ssuD",21
"ssuA",16
"ssuE",16
"elfA",12
"elfD",6
"elfC",43
"elfG",51
"ycbU",21
"ycbV",20
"ycbF",73
"pyrD",170
"zapC",351
"ycbX",501
"rlmL",627
"uup",489
"pqiA",137
"pqiB",284
"pqiC",116
"rmf",9733
"fabA",1274
"ycbZ",695
"matP",157
"ompA",79554
"sulA",116
"sxy",84
"yccS",352
"yccF",90
"helD",713
"mgsA",545
"yccT",37
"yccU",406
"hspQ",639
"rlmI",355
"yccX",83
"tusE",106
"yccA",2275
"serT",5
"hyaA",18
"hyaB",25
"hyaC",10
"hyaD",19
"hyaE",9
"hyaF",38
"cbdA",188
"cbdB",117
"cbdX",18
"appA",174
"etk",155
"etp",19
"gfcE",48
"gfcD",54
"gfcC",17
"gfcB",10
"gfcA",27
"cspH",4
"cspG",27
"ymcE",2
"gnsA",93
"yccM",32
"torS",68
"torT",27
"torR",75
"torC",7
"torA",44
"torD",34
"cbpM",240
"cbpA",693
"yccE",27
"agp",515
"yccJ",1149
"wrbA",2268
"ymdF",112
"rutG",61
"rutF",11
"rutE",8
"rutD",17
"rutC",3
"rutB",8
"rutA",5
"rutR",87
"putA",676
"putP",736
"efeU",962
"efeO",1900
"efeB",1002
"phoH",1276
"pgaD",82
