"","x"
"thrL",447
"thrA",9175
"thrB",2886
"thrC",3244
"yaaX",101
"yaaA",171
"yaaJ",50
"talB",2549
"mog",95
"satP",46
"yaaW",12
"yaaI",0
"dnaK",8286
"dnaJ",1584
"insL1",0
"mokC",0
"hokC",0
"sokC",1
"nhaA",188
"nhaR",124
"insB1",99
"insA",44
"rpsT",1482
"yaaY",4
"ribF",601
"ileS",4518
"lspA",417
"fkpB",450
"ispH",526
"rihC",49
"dapB",801
"carA",1305
"carB",3748
"caiF",26
"caiE",8
"caiD",5
"caiC",29
"caiB",40
"caiA",35
"caiT",9
"fixA",6
"fixB",3
"fixC",11
"fixX",0
"yaaU",9
"kefF",25
"kefC",76
"folA",95
"apaH",245
"apaG",173
"rsmA",538
"pdxA",736
"surA",1717
"lptD",2540
"djlA",127
"yabP",162
"rluA",101
"rapA",362
"polB",114
"araD",2
"araA",17
"araB",10
"araC",97
"yabI",143
"thiQ",120
"thiP",309
"thiB",302
"sgrR",140
"sgrS",2
"sgrT",0
"setA",161
"leuD",2016
"leuC",4161
"leuB",2746
"leuA",3051
"leuL",118
"leuO",12
"ilvI",2460
"ilvH",858
"cra",585
"mraZ",210
"rsmH",465
"ftsL",134
"ftsI",665
"murE",936
"murF",920
"mraY",418
"murD",640
"ftsW",570
"murG",455
"murC",806
"ddlB",430
"ftsQ",389
"ftsA",832
"ftsZ",2458
"lpxC",3304
"secM",605
"secA",4430
"mutT",92
"yacG",81
"zapD",333
"coaE",123
"guaC",710
"hofC",25
"hofB",23
"ppdD",3
"nadC",266
"ampD",83
"ampE",304
"aroP",2956
"pdhR",388
"aceE",9242
"aceF",5855
"lpd",6935
"yacH",37
"acnB",7033
"yacL",90
"speD",688
"speE",665
"yacC",160
"cueO",1144
"gcd",1121
"hpt",280
"can",1510
"yadG",249
"yadH",190
"yadI",42
"yadE",130
"panD",466
"yadD",83
"panC",1108
"panB",658
"yadC",15
"yadK",6
"yadL",3
"yadM",4
"htrE",9
"yadV",2
"yadN",4
"folK",141
"pcnB",1087
"gluQ",96
"dksA",1166
"sfsA",222
"ligT",51
"hrpB",212
"mrcB",556
"fhuA",2746
"fhuC",503
"fhuD",336
"fhuB",512
"hemL",1523
"clcA",369
"erpA",447
"yadS",69
"btuF",118
"mtn",516
"dgt",224
"degP",2145
"cdaR",57
"yaeH",261
"yaeI",90
"dapD",2591
"glnD",655
"map",816
"tff",248
"rpsB",5959
"tsf",3389
"pyrH",598
"frr",1533
"dxr",347
"ispU",580
"cdsA",428
"rseP",999
"bamA",4331
"skp",1454
"lpxD",2055
"fabZ",557
"lpxA",785
"lpxB",485
"rnhB",212
"dnaE",823
"accA",935
"ldcC",160
"yaeR",60
"tilS",217
"rof",147
"yaeP",73
"yaeQ",88
"arfB",71
"nlpE",146
"yaeF",35
"proS",1855
"tsaA",173
"rcsF",180
"metQ",2255
"metI",316
"metN",245
"gmhB",180
"rrsH",4128
"ileV",0
"alaV",5
"rrlH",56001
"rrfH",0
"aspU",30
"dkgB",80
"yafC",70
"yafD",436
"yafE",127
"mltD",1019
"gloB",93
"yafS",116
"rnhA",100
"dnaQ",129
"aspV",25
"yafT",8
"ykfM",2
"yafU",0
"yafF",4
"yafV",105
"ivy",349
"fadE",151
"gmhA",401
"yafJ",430
"yafK",498
"yafQ",113
"dinJ",83
"yafL",12
"rayT",11
"lfhA",20
"lafU",4
"dinB",55
"yafN",16
"yafO",18
"yafP",14
"ykfJ",0
"prfH",45
"pepD",1753
"gpt",106
"frsA",226
"crl",42
"phoE",0
"proB",822
"proA",918
"thrW",14
"ykfN",5
"ykfI",26
"yafW",19
"ykfH",3
"ykfG",8
"yafX",19
"ykfF",25
"ykfB",204
"yafY",14
"ykfL",0
"ykfK",0
"yafZ",21
"ykfA",49
"perR",22
"insN",79
"insI1",5
"eyeA",11
"ykfC",59
"insH1",2
"mmuP",52
"mmuM",100
"afuC",8
"afuB",6
"insX",25
"yagB",25
"yagA",8
"yagE",1
"yagF",39
"yagG",19
"yagH",80
"yagI",180
"argF",521
"ykgS",2
"yagJ",22
"yagK",10
"yagL",14
"yagM",4
"yagN",152
"intF",151
"ptwF",0
"yagP",12
"ykgT",0
"paoD",27
"paoC",36
"paoB",16
"paoA",9
"yagU",205
"ykgJ",17
"ecpE",21
"ecpD",32
"ecpC",47
"ecpB",25
"ecpA",66
"ecpR",6
"ykgL",180
"ykgO",455
"ykgM",721
"ykgR",5
"ykgP",5
"eaeH",1
"insE1",0
"insF1",1
"ykgA",15
"ykgQ",0
"rclC",3
"rclB",2
"rclA",18
"rclR",13
"ykgE",8
"ykgF",44
"ykgG",22
"ykgH",4
"betA",231
"betB",341
"betI",136
"betT",134
"yahA",44
"yahB",54
"yahC",5
"yahD",12
"yahE",11
"yahF",8
"yahG",22
"yahI",8
"yahJ",87
"yahK",197
"yahL",1
"yahM",5
"yahN",6
"yahO",70
"prpR",25
"prpB",1
"prpC",1
"prpD",5
"prpE",13
"codB",489
"codA",973
"cynR",43
"cynT",15
"cynS",8
"cynX",13
"lacA",7
"lacY",16
"lacZ",23
"lacI",134
"mhpR",53
"mhpA",5
"mhpB",7
"mhpC",11
"mhpD",9
"mhpF",17
"mhpE",15
"mhpT",18
"yaiL",92
"frmB",128
"frmA",380
"frmR",66
"yaiO",8
"yaiX",4
"insC1",0
"insD1",0
"yaiP",12
"yaiS",1
"tauA",10
"tauB",8
"tauC",9
"tauD",23
"hemB",466
"yaiT",49
"yaiV",3
"ampH",159
"sbmA",129
"yaiW",144
"yaiY",18
"yaiZ",14
"ddlA",196
"iraP",117
"phoA",162
"psiF",39
"yaiC",29
"proC",161
"yaiI",84
"aroL",586
"yaiA",244
"aroM",96
"yaiE",299
"ykiA",27
"rdgC",184
"mak",107
"araJ",81
"sbcC",283
"sbcD",74
"phoB",83
"phoR",115
"brnQ",249
"proY",179
"malZ",157
"acpH",63
"queA",213
"tgt",545
"yajC",628
"secD",1694
"secF",778
"yajD",65
"tsx",387
"yajI",24
"nrdR",156
"ribD",536
"ribE",561
"nusB",679
"thiL",273
"pgpA",246
"yajO",231
"dxs",714
"ispA",452
"xseB",100
"thiI",332
"yajL",158
"panE",156
"yajQ",458
"yajR",157
"cyoE",2904
"cyoD",996
"cyoC",1979
"cyoB",7024
"cyoA",3820
"ampG",409
"yajG",261
"bolA",272
"tig",4808
"clpP",1207
"clpX",3034
"lon",3234
"hupB",1773
"ppiD",1675
"ybaV",30
"fadM",29
"queC",173
"ybaE",39
"cof",62
"ybaO",45
"mdlA",124
"mdlB",117
"glnK",36
"amtB",268
"tesB",120
"ybaY",299
"ybaZ",59
"ffs",94
"ybaA",12
"ylaB",109
"ylaC",102
"maa",242
"hha",458
"tomB",292
"acrB",6642
"acrA",2938
"acrR",383
"mscK",511
"ybaM",33
"priC",68
"ybaN",214
"apt",456
"dnaX",812
"ybaB",410
"recR",503
"htpG",2201
"adk",883
"hemH",94
"aes",33
"gsk",261
"ybaL",506
"fsr",71
"ushA",450
"ybaK",92
"chiX",9
"ybaP",162
"ybaQ",165
"copA",4483
"glsA",34
"ybaT",32
"cueR",87
"ybbJ",86
"qmcA",187
"fetA",53
"fetB",101
"ybbN",856
"ybbO",291
"tesA",214
"ybbA",134
"ybbP",337
"rhsD",71
"ybbC",31
"rhsH",27
"ybbD",4
"ylbI",2
"ylbG",23
"mnmH",40
"allS",2
"allA",6
"allR",430
"gcl",13
"hyi",5
"glxR",2
"ybbW",3
"allB",8
"ybbY",13
"glxK",17
"allE",76
"allC",30
"allD",3
"fdrA",8
"ylbE",12
"ylbF",4
"ybcF",64
"purK",688
"purE",360
"lpxH",270
"ppiB",1061
"cysS",386
"ybcI",37
"ybcJ",123
"folD",546
"sfmA",1
"sfmC",2
"sfmD",16
"sfmH",1
"sfmF",2
"sfmZ",1
"argU",3
"intD",153
"xisD",1
"exoD",3
"peaD",5
"renD",15
"emrE",29
"ybcK",5
"ybcL",10
"ybcM",25
"ylcH",0
"ybcN",0
"ninE",3
"ybcO",0
"rusA",0
"ylcG",2
"quuD",2
"nmpC",407
"essD",26
"rrrD",13
"rzpD",15
"rzoD",0
"borD",115
"ybcV",1
"ybcW",3
"ylcI",1
"nohD",0
"aaaD",1
"tfaD",5
"ybcY",13
"tfaX",4
"appY",31
"ompT",11723
"pauD",0
"envY",12
"ybcH",16
"nfrA",65
"nfrB",34
"cusS",103
"cusR",72
"cusC",139
"cusF",92
"cusB",127
"cusA",184
"pheP",152
"ybdG",168
"nfsB",431
"ybdF",48
"ybdJ",25
"ybdK",62
"sokE",0
"hokE",2
"entD",745
"fepA",14122
"fes",1318
"ybdZ",246
"entF",8148
"fepE",68
"fepC",284
"fepG",230
"fepD",222
"entS",420
"fepB",658
"entC",2631
"entE",4157
"entB",2636
"entA",2086
"entH",1262
"cstA",1220
"ybdD",28
"ybdH",112
"ybdL",53
"ybdM",19
"ybdN",8
"ybdO",8
"dsbG",96
"ahpC",5504
"ahpF",878
"uspG",212
"ybdR",47
"rnk",149
"rna",240
"citT",13
"citG",9
"citX",4
"citF",6
"citE",5
"citD",4
"citC",9
"citA",71
"citB",30
"dcuC",10
"pagP",27
"cspE",2835
"flc",54
"ybeM",62
"tatE",153
"lipA",416
"ybeF",23
"lipB",162
"ybeD",232
"dacA",770
"rlpA",668
"mrdB",205
"mrdA",401
"rlmH",181
"rsfS",149
"cobC",86
"nadD",223
"holA",373
"lptE",545
"leuS",2426
"ybeL",161
"ybeQ",39
"ybeR",0
"djlB",8
"ybeT",3
"ybeU",5
"djlC",20
"hscC",12
"rihA",59
"gltL",174
"gltK",154
"gltJ",163
"gltI",886
"lnt",661
"ybeX",1197
"ybeY",317
"ybeZ",826
"miaB",389
"ubiF",257
"glnX",41
"glnV",94
"metU",66
"glnW",124
"glnU",177
"leuW",162
"metT",4
"asnB",881
"umpH",320
"nagC",577
"nagA",356
"nagB",150
"nagE",391
"glnS",1704
"chiP",13
"chiQ",16
"fur",777
"uof",69
"fldA",558
"ybfE",37
"ybfF",99
"seqA",415
"pgm",1671
"ybfP",27
"ybfG",6
"ybfI",0
"potE",21
"speF",3
"ybfK",0
"kdpE",43
"kdpD",180
"kdpC",10
"kdpB",22
"kdpA",12
"kdpF",0
"ybfA",117
"rhsC",90
"ybfB",4
"rhsO",11
"ybfC",2
"ybfQ",4
"ybfL",3
"ybfD",6
"ybgA",37
"phr",98
"dtpD",83
"ybgI",573
"ybgJ",637
"ybgK",560
"ybgL",367
"nei",166
"abrB",68
"ybgO",15
"ybgP",6
"ybgQ",14
"ybgD",4
"gltA",3562
"sdhC",189
"sdhD",117
"sdhA",750
"sdhB",284
"sucA",2806
"sucB",1827
"sucC",1529
"sucD",1372
"mngR",83
"mngA",6
"mngB",43
"cydA",1306
"cydB",949
"cydX",95
"ybgE",195
"ybgC",134
"tolQ",370
"tolR",128
"tolA",443
"tolB",1725
"pal",2740
"ybgF",1198
"lysT",177
"valT",308
"lysW",132
"valZ",147
"lysY",46
"lysZ",43
"lysQ",13
"nadA",539
"pnuC",391
"zitB",151
"ybgS",36
"aroG",2902
"gpmA",6140
"galM",773
"galK",195
"galT",177
"galE",156
"modF",611
"modE",113
"acrZ",71
"modA",382
"modB",259
"modC",414
"ybhA",109
"pgl",540
"ybhD",23
"ybhH",2
"ybhI",1
"ybhJ",44
"ybhC",583
"ybhB",111
"bioA",121
"bioB",174
"bioF",128
"bioC",69
"bioD",67
"uvrB",318
"ybhK",134
"moaA",277
"moaB",182
"moaC",206
"moaD",69
"moaE",206
"ybhL",264
"ybhM",23
"ybhN",29
"clsB",57
"ybhP",49
"ybhQ",26
"ybhR",72
"ybhS",96
"ybhF",255
"ybhG",197
"ybiH",47
"rhlE",309
"ybiA",19
"dinG",144
"ybiB",324
"ybiC",948
"ybiJ",77
"ybiI",216
"ybiX",1112
"fiu",9216
"mcbA",15
"rlmF",108
"ybiO",79
"glnQ",341
"glnP",426
"glnH",1071
"dps",1346
"rhtA",41
"ompX",7610
"opgE",103
"mntS",149
"mntR",101
"ybiR",161
"ldtB",734
"ybiT",630
"ybiU",91
"ybiV",131
"ybiW",39
"ybiY",5
"fsaA",63
"moeB",214
"moeA",354
"iaaA",513
"gsiA",1043
"gsiB",700
"gsiC",236
"gsiD",198
"yliE",75
"yliF",40
"rimO",200
"bssR",27
"yliI",55
"gstB",441
"dacC",703
"deoR",278
"ybjG",343
"mdfA",88
"ybjH",57
"ybjI",177
"ybjJ",127
"rcdA",22
"rybB",3
"ybjL",215
"ybjM",20
"grxA",24
"ybjC",26
"nfsA",251
"rimK",213
"ybjN",136
"potF",536
"potG",342
"potH",175
"potI",149
"ybjO",37
"rlmC",96
"artJ",516
"artM",171
"artQ",142
"artI",271
"artP",166
"ybjP",121
"ybjQ",106
"amiD",234
"ybjS",172
"ybjT",398
"ltaE",385
"poxB",341
"hcr",12
"hcp",10
"ybjE",79
"aqpZ",33
"ybjD",526
"ybjX",1469
"macA",133
"macB",168
"cspD",432
"clpS",208
"clpA",6711
"serW",6
"infA",603
"aat",150
"cydC",377
"cydD",376
"trxB",1158
"lrp",1574
"ftsK",1851
"lolA",435
"rarA",454
"serS",1947
"dmsA",20
"dmsB",11
"dmsC",19
"ycaC",50
"ycaD",102
"ycaM",9
"ycaN",32
"ycaK",14
"pflA",115
"pflB",5837
"focA",194
"ycaO",433
"ycaP",44
"serC",6587
"aroA",3059
"ycaL",35
"cmk",304
"rpsA",16515
"ihfB",1058
"ycaI",48
"msbA",598
"lpxK",260
"ycaQ",72
"ycaR",38
"kdsB",442
"ycbJ",62
"elyC",29
"smtA",193
"mukF",480
"mukE",316
"mukB",2257
"ldtD",585
"ycbK",702
"ycbL",857
"aspC",3228
"ompF",11490
"asnS",2468
"pncB",1228
"pepN",1863
"ssuB",67
"ssuC",4
"ssuD",17
"ssuA",8
"ssuE",3
"elfA",4
"elfD",1
"elfC",32
"elfG",35
"ycbU",6
"ycbV",14
"ycbF",29
"pyrD",223
"zapC",181
"ycbX",363
"rlmL",394
"uup",404
"pqiA",134
"pqiB",151
"pqiC",77
"rmf",1210
"fabA",920
"ycbZ",610
"matP",70
"ompA",46916
"sulA",77
"sxy",40
"yccS",220
"yccF",39
"helD",368
"mgsA",246
"yccT",24
"yccU",153
"hspQ",281
"rlmI",209
"yccX",52
"tusE",94
"yccA",2089
"serT",3
"hyaA",9
"hyaB",22
"hyaC",7
"hyaD",9
"hyaE",6
"hyaF",16
"cbdA",23
"cbdB",29
"cbdX",4
"appA",71
"etk",55
"etp",7
"gfcE",14
"gfcD",29
"gfcC",6
"gfcB",2
"gfcA",10
"cspH",10
"cspG",868
"ymcE",60
"gnsA",26
"yccM",21
"torS",47
"torT",18
"torR",23
"torC",4
"torA",22
"torD",19
"cbpM",76
"cbpA",184
"yccE",5
"agp",103
"yccJ",144
"wrbA",255
"ymdF",15
"rutG",34
"rutF",9
"rutE",8
"rutD",11
"rutC",8
"rutB",5
"rutA",8
"rutR",60
"putA",325
"putP",398
"efeU",245
"efeO",464
"efeB",282
"phoH",525
"pgaD",39
"pgaC",12
"pgaB",17
"pgaA",56
"ycdT",46
"ymdE",0
"ycdU",6
"serX",0
"ghrA",406
"ycdX",483
"ycdY",356
"ycdZ",152
"csgG",78
"csgF",30
"csgE",39
"csgD",61
"csgB",0
"csgA",17
"csgC",4
"ymdA",30
"ymdB",92
"clsC",120
"opgC",75
"opgG",1322
"opgH",1572
"yceK",104
"msyB",139
"mdtG",41
"lpxL",113
"yceA",244
"yceI",304
"yceJ",27
"yceO",9
"solA",403
"bssS",146
"dinI",122
"pyrC",922
"yceB",119
"grxB",254
"mdtH",56
"rimJ",209
"yceH",294
"yceM",357
"murJ",288
"flgN",757
"flgM",303
"flgA",216
"flgB",385
"flgC",457
"flgD",1218
"flgE",2369
"flgF",971
"flgG",1085
"flgH",497
"flgI",441
"flgJ",296
"flgK",3010
"flgL",2557
"rne",3314
"yceQ",161
"rluC",220
"yceF",163
"psrD",51
"yceD",2316
"rpmF",2086
"plsX",1151
"fabH",1104
"fabD",1253
"fabG",2099
"acpP",3881
"fabF",2155
"pabC",83
"yceG",110
"tmk",139
"holB",161
"ycfH",168
"ptsG",2985
"fhuE",2187
"hinT",208
"ycfL",200
"lpoB",406
"thiK",179
"nagZ",230
"ycfP",242
"ndh",665
"ycfJ",114
"ycfQ",219
"bhsA",29
"ldtC",244
"mfd",1081
"ycfT",9
"lolC",462
"lolD",248
"lolE",348
"nagK",365
"cobB",268
"ycfZ",19
"ymfA",13
"potD",1033
"potC",166
"potB",258
"potA",418
"pepT",328
"roxA",638
"phoQ",915
"phoP",802
"purB",1075
"hflD",330
"mnmA",567
"nudJ",87
"rluE",68
"icd",15706
"ymfD",17
"ymfE",4
"lit",31
"intE",30
"xisE",3
"ymfI",38
"ymfJ",19
"cohE",134
"croE",2
"ymfL",8
"ymfM",3
