"","x"
"bolA",503
"tig",5863
"clpP",1350
"clpX",3559
"lon",3484
"hupB",2630
"ppiD",1795
"ybaV",24
"fadM",22
"queC",213
"ybaE",34
"cof",83
"ybaO",15
"mdlA",101
"mdlB",112
"glnK",37
"amtB",307
"tesB",128
"ybaY",466
"ybaZ",58
"ffs",56
"ybaA",16
"ylaB",78
"ylaC",134
"maa",157
"hha",291
"tomB",90
"acrB",3062
"acrA",1447
"acrR",84
"mscK",597
"ybaM",29
"priC",80
"ybaN",252
"apt",511
"dnaX",858
"ybaB",455
"recR",637
"htpG",1896
"adk",1146
"hemH",133
"aes",46
"gsk",276
"ybaL",491
"fsr",116
"ushA",626
"ybaK",117
"chiX",7
"ybaP",124
"ybaQ",176
"copA",5779
"glsA",47
"ybaT",67
"cueR",110
"ybbJ",129
"qmcA",198
"fetA",57
"fetB",102
"ybbN",913
"ybbO",349
"tesA",231
"ybbA",116
"ybbP",207
"rhsD",94
"ybbC",28
"rhsH",24
"ybbD",4
"ylbI",4
"ylbG",27
"mnmH",38
"allS",8
"allA",6
"allR",520
"gcl",24
"hyi",6
"glxR",13
"ybbW",5
"allB",12
"ybbY",11
"glxK",32
"allE",173
"allC",41
"allD",3
"fdrA",6
"ylbE",12
"ylbF",1
"ybcF",48
"purK",791
"purE",364
"lpxH",280
"ppiB",1215
"cysS",546
"ybcI",45
"ybcJ",163
"folD",586
"sfmA",2
"sfmC",3
"sfmD",8
"sfmH",3
"sfmF",2
"sfmZ",0
"argU",3
"intD",167
"xisD",0
"exoD",2
"peaD",4
"renD",11
"emrE",36
"ybcK",11
"ybcL",10
"ybcM",38
"ylcH",1
"ybcN",0
"ninE",0
"ybcO",1
"rusA",1
"ylcG",0
"quuD",0
"nmpC",962
"essD",4
"rrrD",7
"rzpD",14
"rzoD",0
"borD",65
"ybcV",1
"ybcW",4
"ylcI",3
"nohD",4
"aaaD",3
"tfaD",6
"ybcY",3
"tfaX",3
"appY",17
"ompT",10310
"pauD",2
"envY",12
"ybcH",34
"nfrA",101
"nfrB",27
"cusS",104
"cusR",59
"cusC",133
"cusF",68
"cusB",132
"cusA",182
"pheP",148
"ybdG",162
"nfsB",459
"ybdF",53
"ybdJ",33
"ybdK",118
"sokE",1
"hokE",2
"entD",1021
"fepA",17448
"fes",1408
"ybdZ",279
"entF",10511
"fepE",72
"fepC",365
"fepG",244
"fepD",221
"entS",535
"fepB",773
"entC",3239
"entE",4852
"entB",2990
"entA",2471
"entH",1380
"cstA",1405
"ybdD",61
"ybdH",222
"ybdL",99
"ybdM",40
"ybdN",6
"ybdO",8
"dsbG",119
"ahpC",6989
"ahpF",1037
"uspG",162
"ybdR",44
"rnk",170
"rna",230
"citT",9
"citG",2
"citX",1
"citF",4
"citE",6
"citD",2
"citC",7
"citA",78
"citB",39
"dcuC",22
"pagP",17
"cspE",3349
"flc",78
"ybeM",75
"tatE",143
"lipA",466
"ybeF",26
"lipB",131
"ybeD",248
"dacA",760
"rlpA",700
"mrdB",185
"mrdA",400
"rlmH",232
"rsfS",156
"cobC",85
"nadD",200
"holA",380
"lptE",644
"leuS",2797
"ybeL",249
"ybeQ",57
"ybeR",1
"djlB",10
"ybeT",2
"ybeU",5
"djlC",30
"hscC",15
"rihA",86
"gltL",204
"gltK",163
"gltJ",228
"gltI",1151
"lnt",588
"ybeX",1132
"ybeY",370
"ybeZ",890
"miaB",503
"ubiF",361
"glnX",53
"glnV",93
"metU",86
"glnW",202
"glnU",275
"leuW",156
"metT",5
"asnB",1068
"umpH",422
"nagC",711
"nagA",339
"nagB",276
"nagE",710
"glnS",1856
"chiP",7
"chiQ",9
"fur",876
"uof",88
"fldA",576
"ybfE",50
"ybfF",125
"seqA",460
"pgm",2036
"ybfP",25
"ybfG",2
"ybfI",1
"potE",30
"speF",22
"ybfK",0
"kdpE",48
"kdpD",173
"kdpC",12
"kdpB",28
"kdpA",14
"kdpF",0
"ybfA",78
"rhsC",47
"ybfB",2
"rhsO",5
"ybfC",3
"ybfQ",0
"ybfL",0
"ybfD",1
"ybgA",67
"phr",151
"dtpD",79
"ybgI",720
"ybgJ",676
"ybgK",829
"ybgL",412
"nei",159
"abrB",73
"ybgO",28
"ybgP",10
"ybgQ",7
"ybgD",0
"gltA",6049
"sdhC",324
"sdhD",240
"sdhA",1606
"sdhB",572
