"","x"
"thrL",354
"thrA",14483
"thrB",4284
"thrC",4756
"yaaX",104
"yaaA",189
"yaaJ",59
"talB",3448
"mog",133
"satP",73
"yaaW",8
"yaaI",12
"dnaK",7637
"dnaJ",1108
"insL1",0
"mokC",0
"hokC",0
"sokC",3
"nhaA",314
"nhaR",179
"insB1",96
"insA",38
"rpsT",1788
"yaaY",15
"ribF",803
"ileS",5488
"lspA",470
"fkpB",342
"ispH",590
"rihC",66
"dapB",739
"carA",1797
"carB",4263
"caiF",59
"caiE",13
"caiD",4
"caiC",74
"caiB",47
"caiA",68
"caiT",10
"fixA",7
"fixB",5
"fixC",8
"fixX",2
"yaaU",5
"kefF",28
"kefC",154
"folA",95
"apaH",293
"apaG",237
"rsmA",573
"pdxA",606
"surA",1642
"lptD",2994
"djlA",156
"yabP",161
"rluA",94
"rapA",524
"polB",160
"araD",7
"araA",31
"araB",12
"araC",150
"yabI",130
"thiQ",89
"thiP",255
"thiB",490
"sgrR",112
"sgrS",0
"sgrT",0
"setA",212
"leuD",2028
"leuC",4764
"leuB",3144
"leuA",4276
"leuL",71
"leuO",19
"ilvI",2382
"ilvH",843
"cra",584
"mraZ",307
"rsmH",527
"ftsL",150
"ftsI",571
"murE",858
"murF",839
"mraY",323
"murD",744
"ftsW",456
"murG",453
"murC",821
"ddlB",581
"ftsQ",504
"ftsA",1121
"ftsZ",3803
"lpxC",4822
"secM",401
"secA",1843
"mutT",32
"yacG",115
"zapD",335
"coaE",169
"guaC",1029
"hofC",30
"hofB",31
"ppdD",2
"nadC",280
"ampD",93
"ampE",325
"aroP",2513
"pdhR",489
"aceE",16648
"aceF",9389
"lpd",7910
"yacH",69
"acnB",5575
"yacL",125
"speD",966
"speE",904
"yacC",68
"cueO",232
"gcd",1510
"hpt",320
"can",1595
"yadG",344
"yadH",266
"yadI",77
"yadE",92
"panD",718
"yadD",85
"panC",1671
"panB",1113
"yadC",25
"yadK",4
"yadL",7
"yadM",10
"htrE",25
"yadV",1
"yadN",2
"folK",123
"pcnB",1302
"gluQ",81
"dksA",1554
"sfsA",281
"ligT",55
"hrpB",267
"mrcB",613
"fhuA",3597
"fhuC",509
"fhuD",251
"fhuB",410
"hemL",1143
"clcA",355
"erpA",443
"yadS",71
"btuF",117
"mtn",603
"dgt",281
"degP",1084
"cdaR",38
"yaeH",518
"yaeI",51
"dapD",2562
"glnD",764
"map",1053
"tff",313
"rpsB",7729
"tsf",3997
"pyrH",820
"frr",2115
"dxr",313
"ispU",499
"cdsA",309
"rseP",891
"bamA",4207
"skp",2108
"lpxD",2715
"fabZ",794
"lpxA",1125
"lpxB",569
"rnhB",165
"dnaE",861
"accA",1144
"ldcC",281
"yaeR",88
"tilS",267
"rof",189
"yaeP",124
"yaeQ",68
"arfB",54
"nlpE",167
"yaeF",21
"proS",2492
"tsaA",184
"rcsF",240
"metQ",3035
"metI",451
"metN",813
"gmhB",229
"rrsH",3775
"ileV",0
"alaV",11
"rrlH",40468
"rrfH",0
"aspU",24
"dkgB",109
"yafC",109
"yafD",590
"yafE",81
"mltD",1122
"gloB",183
"yafS",144
"rnhA",117
"dnaQ",274
"aspV",17
"yafT",10
"ykfM",0
"yafU",3
"yafF",9
"yafV",126
"ivy",498
"fadE",120
"gmhA",615
"yafJ",550
"yafK",590
"yafQ",113
"dinJ",107
"yafL",10
"rayT",23
"lfhA",21
"lafU",4
"dinB",80
"yafN",16
"yafO",25
"yafP",12
"ykfJ",1
"prfH",37
"pepD",2472
"gpt",295
"frsA",346
"crl",37
"phoE",2
"proB",1115
"proA",1218
"thrW",30
"ykfN",1
"ykfI",14
"yafW",15
"ykfH",6
"ykfG",12
"yafX",48
"ykfF",20
"ykfB",111
"yafY",21
"ykfL",1
"ykfK",0
"yafZ",33
"ykfA",59
"perR",30
"insN",81
"insI1",5
"eyeA",13
"ykfC",94
"insH1",12
"mmuP",70
"mmuM",103
"afuC",20
"afuB",1
"insX",72
"yagB",48
"yagA",6
"yagE",10
"yagF",31
"yagG",26
"yagH",82
"yagI",232
"argF",1052
"ykgS",0
"yagJ",24
"yagK",23
"yagL",7
"yagM",4
"yagN",145
"intF",323
"ptwF",4
"yagP",22
"ykgT",0
"paoD",23
"paoC",69
"paoB",27
"paoA",17
"yagU",1196
"ykgJ",49
"ecpE",26
"ecpD",57
"ecpC",37
"ecpB",6
"ecpA",51
"ecpR",2
"ykgL",8
"ykgO",2
"ykgM",3
"ykgR",0
"ykgP",1
"eaeH",3
"insE1",0
"insF1",1
"ykgA",36
"ykgQ",0
"rclC",6
"rclB",3
"rclA",68
"rclR",16
"ykgE",20
"ykgF",46
"ykgG",39
"ykgH",1
"betA",188
"betB",311
"betI",102
"betT",117
"yahA",32
"yahB",43
"yahC",2
"yahD",22
"yahE",7
"yahF",9
"yahG",33
"yahI",12
"yahJ",126
"yahK",547
"yahL",2
"yahM",8
"yahN",12
"yahO",267
"prpR",20
"prpB",6
"prpC",12
"prpD",7
"prpE",26
"codB",736
"codA",1089
"cynR",57
"cynT",14
"cynS",15
"cynX",13
"lacA",18
"lacY",16
"lacZ",27
"lacI",174
"mhpR",82
"mhpA",1
"mhpB",6
"mhpC",8
"mhpD",9
"mhpF",21
"mhpE",28
"mhpT",23
"yaiL",154
"frmB",294
"frmA",1102
"frmR",207
"yaiO",24
"yaiX",2
"insC1",0
"insD1",4
"yaiP",11
"yaiS",2
"tauA",29
"tauB",18
"tauC",12
"tauD",40
"hemB",899
"yaiT",91
"yaiV",9
"ampH",208
"sbmA",90
"yaiW",175
"yaiY",16
"yaiZ",30
"ddlA",385
"iraP",256
"phoA",233
"psiF",68
"yaiC",29
"proC",246
"yaiI",79
"aroL",410
"yaiA",158
"aroM",60
"yaiE",233
"ykiA",32
"rdgC",303
"mak",197
"araJ",96
"sbcC",299
"sbcD",145
"phoB",113
"phoR",93
"brnQ",551
"proY",230
"malZ",195
"acpH",73
"queA",179
"tgt",424
"yajC",742
"secD",1792
"secF",757
"yajD",80
"tsx",1093
"yajI",31
"nrdR",243
"ribD",647
"ribE",591
"nusB",680
"thiL",335
"pgpA",322
"yajO",418
"dxs",714
"ispA",505
"xseB",127
"thiI",348
"yajL",258
"panE",269
"yajQ",913
"yajR",110
"cyoE",3678
"cyoD",1397
"cyoC",2443
"cyoB",7978
"cyoA",4254
"ampG",291
"yajG",226
"bolA",501
"tig",5012
"clpP",1376
"clpX",3186
"lon",2665
"hupB",3060
"ppiD",1889
"ybaV",31
"fadM",21
"queC",225
"ybaE",55
"cof",77
"ybaO",51
"mdlA",106
"mdlB",75
"glnK",3
"amtB",69
"tesB",209
"ybaY",395
"ybaZ",69
"ffs",29
"ybaA",27
"ylaB",77
"ylaC",147
"maa",118
"hha",290
"tomB",119
"acrB",3579
"acrA",1793
"acrR",153
"mscK",600
"ybaM",34
"priC",100
"ybaN",197
"apt",583
"dnaX",702
"ybaB",569
"recR",633
"htpG",1658
"adk",1476
"hemH",107
"aes",29
"gsk",317
"ybaL",348
"fsr",162
"ushA",761
"ybaK",184
"chiX",3
"ybaP",94
"ybaQ",175
"copA",902
"glsA",363
"ybaT",223
"cueR",204
"ybbJ",117
"qmcA",260
"fetA",102
"fetB",123
"ybbN",949
"ybbO",307
"tesA",190
"ybbA",105
"ybbP",181
"rhsD",118
"ybbC",33
"rhsH",33
"ybbD",2
"ylbI",2
"ylbG",40
"mnmH",74
"allS",4
"allA",13
"allR",740
"gcl",17
"hyi",3
"glxR",5
"ybbW",1
"allB",19
"ybbY",26
"glxK",42
"allE",183
"allC",50
"allD",11
"fdrA",8
"ylbE",14
"ylbF",9
"ybcF",30
"purK",875
"purE",419
"lpxH",237
"ppiB",1666
"cysS",665
"ybcI",21
"ybcJ",165
"folD",576
"sfmA",1
"sfmC",4
"sfmD",26
"sfmH",3
"sfmF",1
"sfmZ",2
"argU",3
"intD",216
"xisD",0
"exoD",3
"peaD",0
"renD",38
"emrE",37
"ybcK",6
"ybcL",13
"ybcM",64
"ylcH",2
"ybcN",3
"ninE",0
"ybcO",3
"rusA",0
"ylcG",1
"quuD",4
"nmpC",1307
"essD",4
"rrrD",16
"rzpD",8
"rzoD",0
"borD",131
"ybcV",5
"ybcW",14
"ylcI",6
"nohD",6
"aaaD",4
"tfaD",6
"ybcY",13
"tfaX",3
"appY",130
"ompT",20468
"pauD",1
"envY",28
"ybcH",33
"nfrA",168
"nfrB",37
"cusS",99
"cusR",67
"cusC",15
"cusF",16
"cusB",26
"cusA",33
"pheP",214
"ybdG",189
"nfsB",554
"ybdF",73
"ybdJ",18
"ybdK",113
"sokE",0
"hokE",4
"entD",930
"fepA",16118
"fes",1631
"ybdZ",325
"entF",10618
"fepE",43
"fepC",423
"fepG",217
"fepD",278
"entS",618
"fepB",832
"entC",4636
"entE",5427
"entB",3686
"entA",2878
"entH",1474
"cstA",1053
"ybdD",53
"ybdH",168
"ybdL",130
"ybdM",41
"ybdN",12
"ybdO",20
"dsbG",128
"ahpC",7488
"ahpF",1283
"uspG",589
"ybdR",56
"rnk",133
"rna",289
"citT",12
"citG",6
"citX",2
"citF",6
"citE",9
"citD",0
"citC",9
"citA",95
"citB",83
"dcuC",108
"pagP",17
"cspE",2836
"flc",45
"ybeM",100
"tatE",280
"lipA",739
"ybeF",28
"lipB",223
"ybeD",307
"dacA",919
"rlpA",910
"mrdB",186
"mrdA",311
"rlmH",216
"rsfS",173
"cobC",85
"nadD",196
"holA",378
"lptE",656
"leuS",3094
"ybeL",380
"ybeQ",76
"ybeR",2
"djlB",13
"ybeT",3
"ybeU",1
"djlC",38
"hscC",33
"rihA",78
"gltL",159
"gltK",118
"gltJ",161
"gltI",1191
"lnt",527
"ybeX",1379
"ybeY",373
"ybeZ",917
"miaB",581
"ubiF",427
"glnX",55
"glnV",130
"metU",82
"glnW",161
"glnU",217
"leuW",142
"metT",14
"asnB",1269
"umpH",509
"nagC",655
"nagA",418
"nagB",269
"nagE",647
"glnS",2022
"chiP",10
"chiQ",6
"fur",1098
"uof",74
"fldA",696
"ybfE",30
"ybfF",123
"seqA",556
"pgm",2119
"ybfP",25
"ybfG",5
"ybfI",0
"potE",41
"speF",13
"ybfK",0
"kdpE",45
"kdpD",337
"kdpC",21
"kdpB",25
"kdpA",6
"kdpF",0
"ybfA",268
"rhsC",78
"ybfB",2
"rhsO",13
"ybfC",11
"ybfQ",1
"ybfL",2
"ybfD",2
"ybgA",34
"phr",166
"dtpD",153
"ybgI",811
"ybgJ",740
"ybgK",719
"ybgL",361
"nei",153
"abrB",75
"ybgO",24
"ybgP",9
"ybgQ",8
"ybgD",2
"gltA",3709
"sdhC",109
"sdhD",89
"sdhA",619
"sdhB",304
"sucA",3957
"sucB",2698
"sucC",2275
"sucD",1938
"mngR",60
"mngA",12
"mngB",115
"cydA",5506
"cydB",3253
"cydX",295
"ybgE",428
"ybgC",153
"tolQ",358
"tolR",164
"tolA",487
"tolB",2740
"pal",4367
"ybgF",1758
"lysT",266
"valT",525
"lysW",217
"valZ",195
"lysY",112
"lysZ",122
"lysQ",25
"nadA",681
"pnuC",434
"zitB",194
"ybgS",123
"aroG",3136
"gpmA",10433
"galM",1299
"galK",303
"galT",243
"galE",245
"modF",714
"modE",213
"acrZ",87
"modA",242
"modB",159
"modC",302
"ybhA",184
"pgl",976
"ybhD",33
"ybhH",3
"ybhI",5
"ybhJ",54
"ybhC",890
"ybhB",242
"bioA",307
"bioB",326
"bioF",229
"bioC",125
"bioD",104
"uvrB",683
"ybhK",211
"moaA",402
"moaB",386
"moaC",313
"moaD",70
"moaE",292
"ybhL",520
"ybhM",11
"ybhN",53
"clsB",158
"ybhP",93
"ybhQ",45
"ybhR",117
"ybhS",146
"ybhF",556
"ybhG",461
"ybiH",149
"rhlE",285
"ybiA",19
"dinG",134
"ybiB",573
"ybiC",1503
"ybiJ",93
"ybiI",173
"ybiX",863
"fiu",5218
"mcbA",25
"rlmF",197
"ybiO",102
"glnQ",586
"glnP",496
"glnH",1523
"dps",3543
"rhtA",32
"ompX",6955
"opgE",71
"mntS",96
"mntR",167
"ybiR",125
"ldtB",1045
"ybiT",765
"ybiU",48
"ybiV",155
"ybiW",66
"ybiY",11
"fsaA",60
"moeB",237
"moeA",457
"iaaA",1555
"gsiA",1784
"gsiB",1401
"gsiC",424
"gsiD",287
"yliE",204
"yliF",66
"rimO",297
"bssR",1531
"yliI",115
"gstB",644
"dacC",617
"deoR",274
"ybjG",138
"mdfA",112
"ybjH",63
"ybjI",159
"ybjJ",113
"rcdA",27
"rybB",12
"ybjL",371
"ybjM",70
"grxA",49
"ybjC",44
"nfsA",480
"rimK",279
"ybjN",185
"potF",707
"potG",270
"potH",131
"potI",137
"ybjO",55
"rlmC",133
"artJ",1249
"artM",267
"artQ",284
"artI",794
"artP",382
"ybjP",432
"ybjQ",177
"amiD",345
"ybjS",221
"ybjT",470
"ltaE",669
"poxB",1089
"hcr",103
"hcp",26
"ybjE",118
"aqpZ",62
"ybjD",408
"ybjX",854
"macA",278
"macB",298
"cspD",1097
"clpS",303
"clpA",6671
"serW",8
"infA",629
"aat",243
"cydC",547
"cydD",485
"trxB",1582
"lrp",1873
"ftsK",1854
"lolA",393
"rarA",367
"serS",2933
"dmsA",252
"dmsB",61
"dmsC",88
"ycaC",314
"ycaD",175
"ycaM",21
"ycaN",62
"ycaK",25
"pflA",243
"pflB",29578
"focA",1381
"ycaO",356
"ycaP",58
"serC",7082
"aroA",2375
"ycaL",40
"cmk",465
"rpsA",18613
"ihfB",1863
"ycaI",53
"msbA",683
"lpxK",219
"ycaQ",55
"ycaR",57
"kdsB",674
"ycbJ",248
"elyC",107
"smtA",267
"mukF",445
"mukE",328
"mukB",2325
"ldtD",577
"ycbK",822
"ycbL",1056
"aspC",4054
"ompF",8640
"asnS",3527
"pncB",1593
"pepN",2395
"ssuB",52
"ssuC",10
"ssuD",11
"ssuA",10
"ssuE",15
"elfA",10
"elfD",2
"elfC",36
"elfG",47
"ycbU",22
"ycbV",13
"ycbF",57
"pyrD",378
"zapC",336
"ycbX",333
"rlmL",544
"uup",524
"pqiA",117
"pqiB",215
"pqiC",100
"rmf",5075
"fabA",954
"ycbZ",521
"matP",119
"ompA",50564
"sulA",98
"sxy",71
"yccS",306
"yccF",80
"helD",605
"mgsA",545
"yccT",20
"yccU",271
"hspQ",549
"rlmI",337
"yccX",55
"tusE",78
"yccA",1607
"serT",1
"hyaA",84
"hyaB",128
"hyaC",22
"hyaD",37
"hyaE",23
"hyaF",42
"cbdA",205
"cbdB",104
"cbdX",9
"appA",175
"etk",151
"etp",10
"gfcE",23
"gfcD",31
"gfcC",7
"gfcB",7
"gfcA",24
"cspH",7
"cspG",49
"ymcE",1
"gnsA",58
"yccM",53
"torS",83
"torT",37
"torR",62
"torC",10
"torA",36
"torD",43
"cbpM",261
"cbpA",684
"yccE",8
"agp",264
"yccJ",955
"wrbA",1992
"ymdF",48
"rutG",39
"rutF",15
"rutE",3
"rutD",7
"rutC",1
"rutB",1
"rutA",7
"rutR",70
"putA",1304
"putP",491
"efeU",500
"efeO",1208
"efeB",715
"phoH",285
"pgaD",28
"pgaC",16
"pgaB",21
"pgaA",53
"ycdT",84
"ymdE",0
"ycdU",2
"serX",0
"ghrA",605
"ycdX",632
"ycdY",503
"ycdZ",141
"csgG",302
"csgF",126
"csgE",197
"csgD",333
"csgB",4
"csgA",53
"csgC",7
"ymdA",66
"ymdB",149
"clsC",195
"opgC",78
"opgG",1643
"opgH",1453
"yceK",415
"msyB",404
"mdtG",63
"lpxL",153
"yceA",268
"yceI",201
"yceJ",13
"yceO",11
"solA",655
"bssS",134
"dinI",152
"pyrC",1275
"yceB",197
"grxB",579
"mdtH",52
"rimJ",309
"yceH",450
"yceM",404
"murJ",216
"flgN",477
"flgM",299
"flgA",403
"flgB",585
"flgC",679
"flgD",1451
"flgE",2640
"flgF",1060
"flgG",985
"flgH",367
"flgI",335
"flgJ",205
"flgK",1698
"flgL",1746
"rne",3179
"yceQ",215
"rluC",302
"yceF",346
"psrD",51
"yceD",2886
"rpmF",3070
"plsX",1519
"fabH",1433
"fabD",1720
"fabG",2969
"acpP",6073
"fabF",2931
"pabC",98
"yceG",123
"tmk",200
"holB",167
"ycfH",270
"ptsG",5906
"fhuE",2629
"hinT",386
"ycfL",368
"lpoB",611
"thiK",199
"nagZ",313
"ycfP",585
"ndh",1174
"ycfJ",47
"ycfQ",236
"bhsA",20
"ldtC",61
"mfd",1217
"ycfT",13
"lolC",352
"lolD",211
"lolE",446
"nagK",452
"cobB",361
"ycfZ",19
"ymfA",22
"potD",1964
"potC",176
"potB",279
"potA",577
"pepT",857
"roxA",878
"phoQ",590
"phoP",642
"purB",1457
"hflD",416
"mnmA",756
"nudJ",106
"rluE",93
"icd",20633
"ymfD",12
"ymfE",12
"lit",50
