"","x"
"thrL",460
"thrA",13114
"thrB",4227
"thrC",4834
"yaaX",131
"yaaA",200
"yaaJ",48
"talB",4288
"mog",95
"satP",77
"yaaW",9
"yaaI",17
"dnaK",7096
"dnaJ",1125
"insL1",0
"mokC",0
"hokC",0
"sokC",0
"nhaA",202
"nhaR",105
"insB1",110
"insA",65
"rpsT",2884
"yaaY",17
"ribF",902
"ileS",5498
"lspA",527
"fkpB",456
"ispH",533
"rihC",67
"dapB",864
"carA",2654
"carB",6032
"caiF",47
"caiE",21
"caiD",7
"caiC",55
"caiB",60
"caiA",65
"caiT",19
"fixA",7
"fixB",12
"fixC",30
"fixX",3
"yaaU",22
"kefF",47
"kefC",134
"folA",115
"apaH",299
"apaG",261
"rsmA",683
"pdxA",817
"surA",1922
"lptD",3551
"djlA",126
"yabP",289
"rluA",111
"rapA",518
"polB",168
"araD",10
"araA",36
"araB",11
"araC",108
"yabI",168
"thiQ",134
"thiP",287
"thiB",481
"sgrR",133
"sgrS",2
"sgrT",0
"setA",155
"leuD",2553
"leuC",5041
"leuB",3474
"leuA",4696
"leuL",118
"leuO",24
"ilvI",2540
"ilvH",955
"cra",528
"mraZ",401
"rsmH",548
"ftsL",186
"ftsI",960
"murE",1184
"murF",1172
"mraY",474
"murD",649
"ftsW",601
"murG",596
"murC",950
"ddlB",548
"ftsQ",625
"ftsA",1226
"ftsZ",3310
"lpxC",4225
"secM",741
"secA",2360
"mutT",70
"yacG",118
"zapD",340
"coaE",212
"guaC",1010
"hofC",50
"hofB",45
"ppdD",6
"nadC",281
"ampD",95
"ampE",287
"aroP",2771
"pdhR",742
"aceE",11735
"aceF",6268
"lpd",11918
"yacH",62
"acnB",11434
"yacL",163
"speD",1551
"speE",1210
"yacC",169
"cueO",290
"gcd",2205
"hpt",339
"can",2413
"yadG",359
"yadH",180
"yadI",66
"yadE",104
"panD",712
"yadD",62
"panC",1187
"panB",723
"yadC",31
"yadK",13
"yadL",18
"yadM",15
"htrE",19
"yadV",3
"yadN",6
"folK",168
"pcnB",1488
"gluQ",113
"dksA",1278
"sfsA",336
"ligT",57
"hrpB",263
"mrcB",651
"fhuA",3969
"fhuC",595
"fhuD",321
"fhuB",606
"hemL",1101
"clcA",253
"erpA",380
"yadS",79
"btuF",198
"mtn",617
"dgt",243
"degP",923
"cdaR",49
"yaeH",446
"yaeI",58
"dapD",3265
"glnD",877
"map",1179
"tff",951
"rpsB",10321
"tsf",4266
"pyrH",996
"frr",2155
"dxr",313
"ispU",640
"cdsA",450
"rseP",1210
"bamA",5325
"skp",1949
"lpxD",3406
"fabZ",943
"lpxA",1341
"lpxB",623
"rnhB",257
"dnaE",1183
"accA",1252
"ldcC",219
"yaeR",67
"tilS",347
"rof",145
"yaeP",99
"yaeQ",99
"arfB",69
"nlpE",145
"yaeF",38
"proS",2674
"tsaA",197
"rcsF",332
"metQ",3642
"metI",599
"metN",703
"gmhB",227
"rrsH",2554
"ileV",0
"alaV",28
"rrlH",37575
"rrfH",0
"aspU",75
"dkgB",134
"yafC",93
"yafD",475
"yafE",108
"mltD",1888
"gloB",189
"yafS",135
"rnhA",117
"dnaQ",191
"aspV",44
"yafT",18
"ykfM",10
"yafU",6
"yafF",11
"yafV",118
"ivy",446
"fadE",278
"gmhA",507
"yafJ",528
"yafK",572
"yafQ",194
"dinJ",119
"yafL",24
"rayT",34
"lfhA",30
"lafU",7
"dinB",95
"yafN",23
"yafO",42
"yafP",23
"ykfJ",0
"prfH",46
"pepD",2106
"gpt",177
"frsA",252
"crl",79
"phoE",14
"proB",925
"proA",973
"thrW",56
"ykfN",2
"ykfI",23
"yafW",9
"ykfH",4
"ykfG",18
"yafX",70
"ykfF",31
"ykfB",355
"yafY",40
"ykfL",5
"ykfK",2
"yafZ",21
"ykfA",77
"perR",41
"insN",88
"insI1",4
"eyeA",23
"ykfC",84
"insH1",3
"mmuP",120
"mmuM",171
"afuC",32
"afuB",7
"insX",65
"yagB",36
"yagA",13
"yagE",11
"yagF",60
"yagG",27
"yagH",115
"yagI",218
"argF",904
"ykgS",3
"yagJ",23
"yagK",33
"yagL",14
"yagM",10
"yagN",219
"intF",318
"ptwF",6
"yagP",18
"ykgT",0
"paoD",19
"paoC",59
"paoB",12
"paoA",11
"yagU",1039
"ykgJ",48
"ecpE",22
"ecpD",64
"ecpC",55
"ecpB",17
"ecpA",63
"ecpR",10
"ykgL",4
"ykgO",7
"ykgM",11
"ykgR",5
"ykgP",1
"eaeH",12
"insE1",0
"insF1",0
"ykgA",35
"ykgQ",4
"rclC",18
"rclB",2
"rclA",45
"rclR",19
"ykgE",17
"ykgF",41
"ykgG",30
"ykgH",6
"betA",308
"betB",415
"betI",197
"betT",174
"yahA",143
