"","x"
"thrL",483
"thrA",10893
"thrB",3558
"thrC",3857
"yaaX",97
"yaaA",173
"yaaJ",38
"talB",3141
"mog",101
"satP",48
"yaaW",6
"yaaI",6
"dnaK",10751
"dnaJ",1775
"insL1",0
"mokC",0
"hokC",0
"sokC",3
"nhaA",232
"nhaR",159
"insB1",106
"insA",58
"rpsT",2015
"yaaY",16
"ribF",771
"ileS",5595
"lspA",530
"fkpB",468
"ispH",583
"rihC",58
"dapB",1077
"carA",1771
"carB",4879
"caiF",32
"caiE",12
"caiD",6
"caiC",33
"caiB",35
"caiA",32
"caiT",4
"fixA",6
"fixB",5
"fixC",18
"fixX",2
"yaaU",12
"kefF",24
"kefC",117
"folA",129
"apaH",261
"apaG",182
"rsmA",605
"pdxA",731
"surA",1932
"lptD",3060
"djlA",177
"yabP",147
"rluA",91
"rapA",482
"polB",114
"araD",3
"araA",26
"araB",12
"araC",107
"yabI",180
"thiQ",144
"thiP",297
"thiB",447
"sgrR",161
"sgrS",0
"sgrT",0
"setA",194
"leuD",2351
"leuC",4936
"leuB",3415
"leuA",3692
"leuL",129
"leuO",19
"ilvI",3104
"ilvH",1083
"cra",604
"mraZ",329
"rsmH",576
"ftsL",171
"ftsI",716
"murE",1064
"murF",1032
"mraY",434
"murD",707
"ftsW",538
"murG",550
"murC",861
"ddlB",454
"ftsQ",454
"ftsA",1050
"ftsZ",3182
"lpxC",4072
"secM",649
"secA",5178
"mutT",78
"yacG",93
"zapD",316
"coaE",158
"guaC",963
"hofC",36
"hofB",45
"ppdD",1
"nadC",320
"ampD",117
"ampE",311
"aroP",3666
"pdhR",391
"aceE",12192
"aceF",7452
"lpd",8637
"yacH",45
"acnB",8854
"yacL",132
"speD",894
"speE",850
"yacC",132
"cueO",1428
"gcd",1258
"hpt",334
"can",1944
"yadG",301
"yadH",230
"yadI",58
"yadE",107
"panD",622
"yadD",93
"panC",1309
"panB",823
"yadC",17
"yadK",7
"yadL",4
"yadM",5
"htrE",12
"yadV",2
"yadN",1
"folK",137
"pcnB",1361
"gluQ",86
"dksA",1601
"sfsA",325
"ligT",41
"hrpB",273
"mrcB",713
"fhuA",3355
"fhuC",523
"fhuD",365
"fhuB",505
"hemL",1834
"clcA",383
"erpA",502
"yadS",105
"btuF",153
"mtn",566
"dgt",286
"degP",2800
"cdaR",62
"yaeH",390
"yaeI",99
"dapD",3330
"glnD",781
"map",1017
"tff",308
"rpsB",7745
"tsf",4164
"pyrH",700
"frr",2143
"dxr",363
"ispU",584
"cdsA",466
"rseP",1169
"bamA",5258
"skp",1851
"lpxD",2327
"fabZ",692
"lpxA",1018
"lpxB",553
"rnhB",230
"dnaE",926
"accA",1195
"ldcC",177
"yaeR",66
"tilS",253
"rof",162
"yaeP",107
"yaeQ",82
"arfB",88
"nlpE",174
"yaeF",43
"proS",2327
"tsaA",259
"rcsF",235
"metQ",2841
"metI",430
"metN",395
"gmhB",206
"rrsH",5739
"ileV",0
"alaV",18
"rrlH",56232
"rrfH",0
"aspU",50
"dkgB",71
"yafC",83
"yafD",522
"yafE",110
"mltD",1238
"gloB",102
"yafS",118
"rnhA",112
"dnaQ",164
"aspV",28
"yafT",12
"ykfM",0
"yafU",1
"yafF",5
"yafV",136
"ivy",440
"fadE",187
"gmhA",572
"yafJ",538
"yafK",594
"yafQ",105
"dinJ",90
"yafL",8
"rayT",26
"lfhA",26
"lafU",12
"dinB",57
"yafN",29
"yafO",29
"yafP",13
"ykfJ",0
"prfH",52
"pepD",2216
"gpt",197
"frsA",283
"crl",39
"phoE",3
"proB",1023
"proA",1202
"thrW",35
"ykfN",1
"ykfI",28
"yafW",6
"ykfH",7
"ykfG",2
"yafX",43
"ykfF",28
"ykfB",247
"yafY",24
"ykfL",2
"ykfK",1
"yafZ",15
"ykfA",39
"perR",21
"insN",76
"insI1",4
"eyeA",7
"ykfC",89
"insH1",3
"mmuP",65
"mmuM",100
"afuC",21
"afuB",3
"insX",30
"yagB",38
"yagA",6
"yagE",7
"yagF",52
"yagG",17
"yagH",73
"yagI",202
"argF",666
"ykgS",2
"yagJ",31
"yagK",20
"yagL",5
"yagM",8
"yagN",130
"intF",181
"ptwF",3
"yagP",16
"ykgT",0
"paoD",18
"paoC",32
"paoB",11
"paoA",9
"yagU",263
"ykgJ",19
"ecpE",21
"ecpD",36
"ecpC",32
"ecpB",17
"ecpA",83
"ecpR",4
"ykgL",179
"ykgO",517
"ykgM",754
"ykgR",5
"ykgP",0
"eaeH",1
"insE1",0
"insF1",0
"ykgA",25
"ykgQ",3
"rclC",3
"rclB",1
"rclA",21
"rclR",15
"ykgE",9
"ykgF",35
"ykgG",21
"ykgH",6
"betA",242
"betB",412
"betI",134
"betT",160
"yahA",41
"yahB",45
"yahC",3
"yahD",2
"yahE",2
"yahF",8
"yahG",30
"yahI",11
"yahJ",108
"yahK",221
"yahL",5
"yahM",3
"yahN",4
"yahO",65
"prpR",21
"prpB",6
"prpC",2
"prpD",7
"prpE",26
"codB",698
"codA",1263
"cynR",39
"cynT",9
"cynS",13
"cynX",19
"lacA",13
"lacY",9
"lacZ",25
"lacI",182
"mhpR",74
"mhpA",3
"mhpB",7
"mhpC",14
"mhpD",11
"mhpF",23
"mhpE",24
"mhpT",26
"yaiL",132
"frmB",137
"frmA",480
"frmR",90
"yaiO",11
"yaiX",1
"insC1",0
"insD1",4
"yaiP",8
"yaiS",2
"tauA",7
"tauB",13
"tauC",12
"tauD",35
"hemB",630
"yaiT",60
"yaiV",5
"ampH",168
"sbmA",154
"yaiW",176
"yaiY",23
"yaiZ",20
"ddlA",269
"iraP",116
"phoA",203
"psiF",38
"yaiC",21
"proC",211
"yaiI",89
"aroL",594
"yaiA",269
"aroM",74
"yaiE",381
"ykiA",34
"rdgC",218
"mak",121
"araJ",89
"sbcC",310
"sbcD",96
"phoB",128
"phoR",145
"brnQ",320
"proY",196
"malZ",166
"acpH",75
"queA",223
"tgt",631
"yajC",827
"secD",2077
"secF",853
"yajD",76
"tsx",518
"yajI",16
"nrdR",200
"ribD",593
"ribE",655
"nusB",681
"thiL",264
"pgpA",301
"yajO",308
"dxs",746
"ispA",506
"xseB",127
"thiI",411
"yajL",266
"panE",185
"yajQ",556
"yajR",150
"cyoE",3567
"cyoD",1212
"cyoC",2446
"cyoB",8664
"cyoA",4776
"ampG",428
"yajG",390
"bolA",420
"tig",6051
"clpP",1560
"clpX",3848
"lon",4078
"hupB",2149
"ppiD",1926
"ybaV",32
"fadM",24
"queC",257
"ybaE",40
"cof",84
"ybaO",51
"mdlA",175
"mdlB",124
"glnK",43
"amtB",345
"tesB",144
"ybaY",364
"ybaZ",66
"ffs",238
"ybaA",18
"ylaB",75
"ylaC",91
"maa",215
"hha",486
"tomB",280
"acrB",8022
"acrA",3658
"acrR",444
"mscK",650
"ybaM",29
"priC",89
"ybaN",227
"apt",548
"dnaX",914
"ybaB",513
"recR",647
"htpG",2829
"adk",1140
"hemH",133
"aes",21
"gsk",267
"ybaL",574
"fsr",105
"ushA",556
"ybaK",107
"chiX",4
"ybaP",176
"ybaQ",222
"copA",5374
"glsA",58
"ybaT",49
"cueR",139
"ybbJ",113
"qmcA",185
"fetA",87
"fetB",139
"ybbN",1070
"ybbO",383
"tesA",254
"ybbA",175
"ybbP",347
"rhsD",83
"ybbC",10
"rhsH",12
"ybbD",1
"ylbI",5
"ylbG",18
"mnmH",55
"allS",1
"allA",9
"allR",577
"gcl",12
"hyi",5
"glxR",3
"ybbW",0
"allB",8
"ybbY",9
"glxK",22
"allE",126
"allC",42
"allD",0
"fdrA",5
"ylbE",8
"ylbF",9
"ybcF",52
"purK",876
"purE",428
"lpxH",290
"ppiB",1374
"cysS",599
"ybcI",26
"ybcJ",165
"folD",639
"sfmA",0
"sfmC",0
"sfmD",12
"sfmH",1
"sfmF",3
"sfmZ",2
"argU",6
"intD",188
"xisD",0
"exoD",1
"peaD",2
"renD",25
"emrE",36
"ybcK",4
"ybcL",6
"ybcM",29
"ylcH",0
"ybcN",2
"ninE",0
"ybcO",0
"rusA",0
"ylcG",0
"quuD",1
"nmpC",542
"essD",16
"rrrD",17
"rzpD",43
"rzoD",0
"borD",182
"ybcV",0
"ybcW",2
"ylcI",1
"nohD",2
"aaaD",2
"tfaD",1
"ybcY",11
"tfaX",1
"appY",15
"ompT",14587
"pauD",1
"envY",19
"ybcH",19
"nfrA",93
"nfrB",31
"cusS",128
"cusR",99
"cusC",192
"cusF",109
"cusB",166
"cusA",207
"pheP",158
"ybdG",229
"nfsB",572
"ybdF",50
"ybdJ",33
"ybdK",71
